Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.8823529411764706,0.8711484593837535,0.9325842696629213,0.8876404494382022,0.8735955056179775,0.0,0.14814814814814814,0.14285714285714285,0.09090909090909091,0.11764705882352941,0.4719029374201788,0.7600574712643677,0.6954022988505747,0.49281609195402304,0.8211206896551724,0.8894643250558649,0.09991228814758227,0.6482598978288634,0.15800831546189487,"(np.float64(0.51), np.float64(0.787))"
Random Forest 200,0.8879551820728291,0.8823529411764706,0.9353932584269663,0.8932584269662921,0.8764044943820225,0.0,0.19230769230769232,0.14814814814814814,0.09523809523809523,0.12,0.46392081736909324,0.7630906768837803,0.6875,0.48976293103448276,0.8376436781609196,0.8950728606049161,0.11113878713878714,0.6483836206896552,0.1656005874239748,"(np.float64(0.503), np.float64(0.794))"
Random Forest 300,0.8907563025210085,0.8823529411764706,0.9382022471910112,0.8820224719101124,0.8764044943820225,0.0,0.19230769230769232,0.15384615384615385,0.08695652173913043,0.12,0.46200510855683274,0.7592592592592593,0.6871408045977012,0.49622844827586204,0.8358477011494252,0.8939476914361251,0.1106220735785953,0.6480962643678161,0.16342126652012273,"(np.float64(0.505), np.float64(0.791))"
Random Forest 500,0.8879551820728291,0.8823529411764706,0.9353932584269663,0.8820224719101124,0.8735955056179775,0.0,0.19230769230769232,0.14814814814814814,0.08695652173913043,0.11764705882352941,0.4553001277139208,0.7598978288633461,0.6767241379310345,0.49371408045977005,0.8311781609195403,0.8922638718408711,0.10901188420370005,0.6433628671775223,0.1641114785637006,"(np.float64(0.5), np.float64(0.787))"
Random Forest 1000,0.8879551820728291,0.8711484593837535,0.9410112359550562,0.8876404494382022,0.8679775280898876,0.0,0.14814814814814814,0.16,0.09090909090909091,0.11320754716981132,0.45625798212005103,0.7525542784163474,0.6910919540229885,0.4906609195402299,0.8229166666666666,0.8911465709879458,0.10245295724541008,0.6426963601532567,0.16183656771334243,"(np.float64(0.501), np.float64(0.785))"
KNN 1,0.876750700280112,0.7927170868347339,0.8314606741573034,0.8370786516853933,0.8314606741573034,0.08333333333333333,0.075,0.0625,0.0,0.03225806451612903,0.5579501915708813,0.5689655172413792,0.5474137931034483,0.4281609195402299,0.48635057471264365,0.8338935574229692,0.05061827956989247,0.5177681992337164,0.05943725855863612,"(np.float64(0.466), np.float64(0.57))"
KNN 3,0.84593837535014,0.7899159663865546,0.8174157303370787,0.8455056179775281,0.8146067415730337,0.06779661016949153,0.07407407407407407,0.057971014492753624,0.03508771929824561,0.08333333333333333,0.5303320561941252,0.5191570881226053,0.5220905172413792,0.42654454022988514,0.6531968390804599,0.822676486324867,0.06365255027357963,0.5302642081736909,0.08071614337087916,"(np.float64(0.46), np.float64(0.601))"
KNN 5,0.8207282913165266,0.8067226890756303,0.8146067415730337,0.8426966292134831,0.8202247191011236,0.058823529411764705,0.08,0.05714285714285714,0.034482758620689655,0.13513513513513514,0.4766922094508301,0.5312899106002553,0.5247844827586207,0.36386494252873564,0.7397629310344829,0.8209958140559594,0.07311685606208933,0.5272788952745849,0.1364138084333933,"(np.float64(0.408), np.float64(0.647))"
KNN 7,0.8151260504201681,0.8011204481792717,0.8258426966292135,0.8370786516853933,0.8314606741573034,0.05714285714285714,0.07792207792207792,0.06060606060606061,0.03333333333333333,0.14285714285714285,0.4500319284802043,0.5027139208173691,0.5062859195402298,0.33836206896551724,0.737787356321839,0.82212570421427,0.07437229437229437,0.5070362388250319,0.1457444601122969,"(np.float64(0.379), np.float64(0.635))"
Decision Tree 1,0.7086834733893558,0.9747899159663865,0.9775280898876404,0.6910112359550562,0.7275280898876404,0.037037037037037035,0.0,0.0,0.06779661016949153,0.11009174311926606,0.4717432950191571,0.6757662835249042,0.576867816091954,0.5977011494252874,0.7385057471264369,0.8159081610172159,0.04298507806515892,0.612116858237548,0.10146482821321383,"(np.float64(0.523), np.float64(0.701))"
