Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.9745762711864406,0.9661016949152542,0.9830508474576272,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.66871387283237,0.6645955165692007,0.6395415472779369,0.6299999999999999,0.6562147529889465,0.975141242937853,0.0,0.6518131379336908,0.016543905090155103,"(np.float64(0.637), np.float64(0.666))"
Random Forest 200,0.9745762711864406,0.9661016949152542,0.9830508474576272,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.6770231213872833,0.6613060428849903,0.6584527220630373,0.6214285714285714,0.6611775321452741,0.975141242937853,0.0,0.6558775979818312,0.020603744628069357,"(np.float64(0.638), np.float64(0.674))"
Random Forest 300,0.9745762711864406,0.9661016949152542,0.9858757062146892,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.699421965317919,0.6761695906432749,0.6744985673352436,0.63,0.6636589217234379,0.9757062146892654,0.0,0.6687498090039751,0.02528016705849129,"(np.float64(0.647), np.float64(0.691))"
Random Forest 500,0.9745762711864406,0.9661016949152542,0.9858757062146892,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.6835260115606936,0.6766569200779726,0.6785100286532951,0.6321428571428571,0.6616286938867584,0.9757062146892654,0.0,0.6664929022643153,0.020865231367360484,"(np.float64(0.648), np.float64(0.685))"
Random Forest 1000,0.9745762711864406,0.9661016949152542,0.9858757062146892,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.6878612716763005,0.6693469785575049,0.6802292263610316,0.63,0.6674937965260547,0.9757062146892654,0.0,0.6669862546241784,0.022276424111297457,"(np.float64(0.647), np.float64(0.687))"
KNN 1,0.9378531073446328,0.9548022598870056,0.9463276836158192,0.9265536723163842,0.9548022598870056,0.08333333333333333,0.2,0.0,0.0,0.1111111111111111,0.5408236994219654,0.5745614035087719,0.4799426934097421,0.4685714285714286,0.5325964358222423,0.9440677966101696,0.07888888888888888,0.51929913214683,0.04420484446754342,"(np.float64(0.481), np.float64(0.558))"
KNN 3,0.9689265536723164,0.96045197740113,0.9717514124293786,0.9689265536723164,0.96045197740113,0.0,0.125,0.0,0.0,0.0,0.5704479768786127,0.6663011695906433,0.4326647564469914,0.43142857142857144,0.5327092262576133,0.9661016949152541,0.025,0.5267103401204863,0.09919394440915531,"(np.float64(0.44), np.float64(0.614))"
KNN 5,0.9745762711864406,0.9661016949152542,0.9745762711864406,0.9745762711864406,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.5979046242774566,0.6351120857699806,0.4954154727793696,0.38857142857142857,0.5875253778479584,0.9706214689265537,0.0,0.5409057978492389,0.09946381989885499,"(np.float64(0.454), np.float64(0.628))"
KNN 7,0.9774011299435028,0.9661016949152542,0.9830508474576272,0.980225988700565,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.5829118497109826,0.6064814814814815,0.5481375358166188,0.3514285714285714,0.5604556733588992,0.9740112994350282,0.0,0.5298830223593107,0.1022170310881235,"(np.float64(0.44), np.float64(0.619))"
Decision Tree 1,0.9745762711864406,0.9661016949152542,0.9858757062146892,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.4985549132947977,0.5,0.5,0.5,0.5,0.9757062146892654,0.0,0.4997109826589595,0.0006462624212427197,"(np.float64(0.499), np.float64(0.5))"
