Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.9774011299435028,0.9661016949152542,0.9830508474576272,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.710621387283237,0.6719054580896686,0.6848137535816619,0.7014285714285714,0.724001804646966,0.9757062146892654,0.0,0.698554195006021,0.02061804376926274,"(np.float64(0.68), np.float64(0.717))"
Random Forest 200,0.9774011299435028,0.9661016949152542,0.9830508474576272,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.6972543352601157,0.6732456140350878,0.6326647564469914,0.6885714285714286,0.7236634333408526,0.9757062146892654,0.0,0.6830799135308953,0.03360243502832549,"(np.float64(0.654), np.float64(0.713))"
Random Forest 300,0.9774011299435028,0.9661016949152542,0.9830508474576272,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.7033959537572255,0.6747076023391814,0.6200573065902579,0.6942857142857143,0.7187006541845251,0.9757062146892654,0.0,0.6822294462313808,0.03822785873186916,"(np.float64(0.649), np.float64(0.716))"
Random Forest 500,0.9774011299435028,0.9661016949152542,0.9830508474576272,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.6958092485549133,0.6803118908382065,0.633810888252149,0.685,0.7040378975862847,0.9757062146892654,0.0,0.6797939850463107,0.027322481445617466,"(np.float64(0.656), np.float64(0.704))"
Random Forest 1000,0.9774011299435028,0.9661016949152542,0.9830508474576272,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.7073699421965318,0.6710526315789473,0.6532951289398281,0.6657142857142857,0.7146401985111663,0.9757062146892654,0.0,0.6824144373881519,0.027005539810766113,"(np.float64(0.659), np.float64(0.706))"
KNN 1,0.9378531073446328,0.9548022598870056,0.940677966101695,0.9152542372881356,0.943502824858757,0.08333333333333333,0.2,0.0,0.0,0.09090909090909091,0.5408236994219654,0.5745614035087719,0.47707736389684813,0.46285714285714286,0.5267313331829461,0.9384180790960451,0.07484848484848486,0.5164101885735348,0.04609530653707573,"(np.float64(0.476), np.float64(0.557))"
KNN 3,0.963276836158192,0.9576271186440678,0.9661016949152542,0.963276836158192,0.96045197740113,0.0,0.11764705882352941,0.0,0.0,0.0,0.6298771676300579,0.6683723196881092,0.43123209169054444,0.43,0.5681254229641327,0.9621468926553673,0.023529411764705882,0.5455214003945689,0.11082240940649978,"(np.float64(0.448), np.float64(0.643))"
KNN 5,0.9745762711864406,0.963276836158192,0.9745762711864406,0.9689265536723164,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.652456647398844,0.635233918128655,0.48710601719197705,0.39285714285714285,0.5830137604331154,0.9689265536723164,0.0,0.5501334972019468,0.10897423467346548,"(np.float64(0.455), np.float64(0.646))"
KNN 7,0.9745762711864406,0.963276836158192,0.980225988700565,0.9745762711864406,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.6445086705202312,0.6118421052631579,0.5727793696275071,0.35,0.5538010376720054,0.9711864406779661,0.0,0.5465862366165803,0.115359669569462,"(np.float64(0.445), np.float64(0.648))"
Decision Tree 1,0.9745762711864406,0.9661016949152542,0.9858757062146892,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.4985549132947977,0.5,0.5,0.5,0.5,0.9757062146892654,0.0,0.4997109826589595,0.0006462624212427197,"(np.float64(0.499), np.float64(0.5))"
Decision Tree 2,0.9745762711864406,0.9661016949152542,0.9830508474576272,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.4985549132947977,0.5,0.498567335243553,0.5,0.5,0.975141242937853,0.0,0.4994244497076702,0.0007881169321415555,"(np.float64(0.499), np.float64(0.5))"
Decision Tree 3,0.9745762711864406,0.9661016949152542,0.9830508474576272,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.5276372832369942,0.6630116959064327,0.542406876790831,0.5492857142857143,0.7285134220618091,0.975141242937853,0.0,0.6021709984563562,0.08886489280555857,"(np.float64(0.524), np.float64(0.68))"
Decision Tree 4,0.9717514124293786,0.9661016949152542,0.9745762711864406,0.9858757062146892,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.6260838150289018,0.6630116959064327,0.5808022922636104,0.5489285714285714,0.7285134220618091,0.972316384180791,0.0,0.6294679593378651,0.07035904088756366,"(np.float64(0.568), np.float64(0.691))"
Decision Tree 5,0.9745762711864406,0.9661016949152542,0.9689265536723164,0.9858757062146892,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.6334898843930636,0.6567982456140351,0.5796561604584527,0.5485714285714286,0.7276110985788405,0.9717514124293786,0.0,0.6292253635231642,0.0696784865348732,"(np.float64(0.568), np.float64(0.69))"
Decision Tree 6,0.9745762711864406,0.9661016949152542,0.9717514124293786,0.9858757062146892,0.96045197740113,0.0,0.0,0.0,0.0,0.0,0.6287933526011561,0.6398635477582846,0.626647564469914,0.5153571428571428,0.7262576133543877,0.9717514124293786,0.0,0.627383844208177,0.07497378852511286,"(np.float64(0.562), np.float64(0.693))"
Decision Tree 7,0.9717514124293786,0.963276836158192,0.9689265536723164,0.9830508474576272,0.9576271186440678,0.0,0.0,0.0,0.0,0.0,0.6461343930635839,0.6457115009746589,0.48653295128939833,0.555,0.7293029551094067,0.9689265536723163,0.0,0.6125363600874096,0.09360975812731118,"(np.float64(0.53), np.float64(0.695))"
