Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.9745762711864406,0.9661016949152542,0.9830508474576272,0.9830508474576272,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.6838872832369942,0.6832358674463938,0.6578796561604584,0.7178571428571429,0.6681705391382811,0.9740112994350282,0.0,0.682206097767854,0.022713743050481586,"(np.float64(0.662), np.float64(0.702))"
Random Forest 200,0.9745762711864406,0.9661016949152542,0.9830508474576272,0.9830508474576272,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.6748554913294798,0.6854288499025342,0.6595988538681948,0.7007142857142857,0.659598466050079,0.9740112994350282,0.0,0.6760391893729146,0.01759978167663774,"(np.float64(0.661), np.float64(0.691))"
Random Forest 300,0.9745762711864406,0.9661016949152542,0.9830508474576272,0.9830508474576272,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.6791907514450868,0.6803118908382066,0.6601719197707736,0.6964285714285714,0.6505752312203925,0.9740112994350282,0.0,0.6733356729406063,0.018080055488295783,"(np.float64(0.657), np.float64(0.689))"
Random Forest 500,0.9745762711864406,0.9661016949152542,0.9830508474576272,0.9830508474576272,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.6683526011560694,0.6881091617933723,0.6521489971346706,0.6978571428571428,0.6548612677644935,0.9740112994350282,0.0,0.6722658341411497,0.02017947947292713,"(np.float64(0.655), np.float64(0.69))"
Random Forest 1000,0.9745762711864406,0.9661016949152542,0.9830508474576272,0.9830508474576272,0.96045197740113,0.0,0.0,0.0,0.0,0.0,0.6694364161849711,0.6851851851851851,0.6624641833810888,0.695,0.6584705616963682,0.9734463276836157,0.0,0.6741112692895227,0.01550089739080593,"(np.float64(0.661), np.float64(0.688))"
KNN 1,0.9096045197740112,0.884180790960452,0.8870056497175142,0.884180790960452,0.867231638418079,0.15789473684210525,0.1276595744680851,0.0,0.0,0.0784313725490196,0.6484826589595376,0.5782163742690059,0.4498567335243553,0.4471428571428571,0.5241371531694111,0.8864406779661017,0.07279713677184199,0.5295671554130335,0.0861461617055321,"(np.float64(0.454), np.float64(0.605))"
KNN 3,0.884180790960452,0.8813559322033898,0.8785310734463276,0.8587570621468926,0.8615819209039548,0.1276595744680851,0.045454545454545456,0.0,0.0,0.07547169811320754,0.5957369942196532,0.6312134502923977,0.5679083094555873,0.3514285714285714,0.4921046695240244,0.8728813559322035,0.049717163607167617,0.5276783989840468,0.11101735998532482,"(np.float64(0.43), np.float64(0.625))"
KNN 5,0.8926553672316384,0.8785310734463276,0.8813559322033898,0.8531073446327684,0.8728813559322034,0.05,0.0851063829787234,0.0,0.0,0.08163265306122448,0.6062138728323699,0.6101364522417154,0.5094555873925501,0.41107142857142853,0.5637265959846606,0.8757062146892656,0.04334780720798957,0.5401207874045448,0.08279766749386107,"(np.float64(0.468), np.float64(0.613))"
KNN 7,0.8926553672316384,0.8983050847457628,0.8926553672316384,0.867231638418079,0.8870056497175142,0.09523809523809523,0.05263157894736842,0.0,0.0,0.09090909090909091,0.5997109826589595,0.5721247563352827,0.5504297994269342,0.5114285714285715,0.5247011053462667,0.8875706214689266,0.04775575301891091,0.5516790430392029,0.03561798917845598,"(np.float64(0.52), np.float64(0.583))"
Decision Tree 1,0.9745762711864406,0.9661016949152542,0.9858757062146892,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.4985549132947977,0.5,0.5,0.5,0.5,0.9757062146892654,0.0,0.4997109826589595,0.0006462624212427197,"(np.float64(0.499), np.float64(0.5))"
Decision Tree 2,0.9745762711864406,0.8615819209039548,0.9830508474576272,0.8757062146892656,0.96045197740113,0.0,0.1694915254237288,0.0,0.043478260869565216,0.0,0.4985549132947977,0.6469298245614036,0.498567335243553,0.5664285714285715,0.49853372434017595,0.9310734463276835,0.042593957258658804,0.5418028737737003,0.0657077201270645,"(np.float64(0.484), np.float64(0.599))"
Decision Tree 3,0.9745762711864406,0.9661016949152542,0.9830508474576272,0.8757062146892656,0.96045197740113,0.0,0.0,0.0,0.043478260869565216,0.0,0.6334898843930636,0.6469298245614036,0.5790830945558738,0.5657142857142857,0.7161064741709904,0.9519774011299434,0.008695652173913044,0.6282647126791234,0.06004842079046893,"(np.float64(0.576), np.float64(0.681))"
Decision Tree 4,0.9293785310734464,0.9180790960451978,0.9011299435028248,0.9152542372881356,0.9576271186440678,0.1935483870967742,0.17142857142857143,0.0,0.0,0.0,0.7207369942196532,0.6990740740740742,0.6825214899713468,0.4853571428571429,0.721182043762689,0.9242937853107345,0.07299539170506912,0.6617743489769812,0.09993824555776097,"(np.float64(0.574), np.float64(0.749))"
Decision Tree 5,0.9463276836158192,0.9491525423728814,0.9661016949152542,0.9463276836158192,0.9576271186440678,0.17391304347826086,0.0,0.0,0.0,0.0,0.698157514450867,0.7066276803118909,0.6988538681948424,0.5449999999999999,0.7400180464696594,0.9531073446327684,0.034782608695652174,0.6777314218854519,0.07615055926330973,"(np.float64(0.611), np.float64(0.744))"
Decision Tree 6,0.9124293785310734,0.9152542372881356,0.96045197740113,0.9124293785310734,0.9463276836158192,0.0,0.0625,0.0,0.0,0.09523809523809523,0.7135115606936416,0.7009015594541911,0.7008595988538682,0.5617857142857143,0.6582449808256259,0.9293785310734464,0.03154761904761905,0.6670606828226082,0.062461570812010946,"(np.float64(0.612), np.float64(0.722))"
Decision Tree 7,0.9265536723163842,0.903954802259887,0.9350282485875706,0.9378531073446328,0.9350282485875706,0.07142857142857142,0.0,0.08,0.0,0.08,0.5317919075144508,0.664351851851852,0.6355300859598854,0.6232142857142857,0.6098578840514324,0.927683615819209,0.046285714285714284,0.6129492030183813,0.049632558292759005,"(np.float64(0.569), np.float64(0.656))"
Logistic Regression 0.5,0.9548022598870056,0.9519774011299436,0.9519774011299436,0.9689265536723164,0.96045197740113,0.1111111111111111,0.19047619047619047,0.0,0.15384615384615385,0.125,0.680635838150289,0.6596003898635479,0.6189111747851003,0.49071428571428566,0.6909542070832393,0.9576271186440678,0.11608669108669108,0.6281631791192923,0.08164280317393559,"(np.float64(0.557), np.float64(0.7))"
Logistic Regression 0.3,0.2542372881355932,0.3163841807909605,0.2768361581920904,0.2175141242937853,0.05084745762711865,0.050359712230215826,0.07633587786259542,0.030303030303030304,0.028070175438596492,0.0718232044198895,0.680635838150289,0.6596003898635479,0.6189111747851003,0.49071428571428566,0.6909542070832393,0.2231638418079096,0.05137840005086551,0.6281631791192923,0.08164280317393559,"(np.float64(0.557), np.float64(0.7))"
Logistic Regression 0.03,0.022598870056497175,0.03389830508474576,0.014124293785310734,0.011299435028248588,0.03672316384180791,0.04419889502762431,0.06557377049180328,0.027855153203342618,0.0223463687150838,0.07084468664850137,0.680635838150289,0.6596003898635479,0.6189111747851003,0.49071428571428566,0.6909542070832393,0.02372881355932203,0.046163774817271075,0.6281631791192923,0.08164280317393559,"(np.float64(0.557), np.float64(0.7))"
Logistic Regression 0.01,0.022598870056497175,0.03389830508474576,0.014124293785310734,0.011299435028248588,0.03672316384180791,0.04419889502762431,0.06557377049180328,0.027855153203342618,0.0223463687150838,0.07084468664850137,0.680635838150289,0.6596003898635479,0.6189111747851003,0.49071428571428566,0.6909542070832393,0.02372881355932203,0.046163774817271075,0.6281631791192923,0.08164280317393559,"(np.float64(0.557), np.float64(0.7))"
