Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.9519774011299436,0.9717514124293786,0.9661016949152542,0.9265536723163842,0.96045197740113,0.2608695652173913,0.2857142857142857,0.0,0.0,0.125,0.7691473988439306,0.752528901734104,0.6842485549132947,0.4789049919484702,0.6317230273752013,0.9553672316384182,0.1343167701863354,0.6633105749630002,0.11683635386190556,"(np.float64(0.561), np.float64(0.766))"
Random Forest 200,0.9548022598870056,0.9717514124293786,0.9661016949152542,0.9265536723163842,0.9576271186440678,0.2727272727272727,0.2857142857142857,0.0,0.0,0.11764705882352941,0.7760115606936416,0.7590317919075145,0.6842485549132948,0.4714975845410627,0.6380032206119163,0.955367231638418,0.13521772345301758,0.6657585425334861,0.12217322263401544,"(np.float64(0.559), np.float64(0.773))"
Random Forest 300,0.9548022598870056,0.9717514124293786,0.9661016949152542,0.9265536723163842,0.9576271186440678,0.2727272727272727,0.2857142857142857,0.0,0.0,0.11764705882352941,0.7745664739884394,0.7597543352601156,0.6871387283236994,0.4721417069243156,0.6444444444444445,0.955367231638418,0.13521772345301758,0.667609137788203,0.12150733891098026,"(np.float64(0.561), np.float64(0.774))"
Random Forest 500,0.9548022598870056,0.9717514124293786,0.9661016949152542,0.9293785310734464,0.9519774011299436,0.2727272727272727,0.16666666666666666,0.0,0.0,0.10526315789473684,0.7680635838150289,0.766257225433526,0.6846098265895955,0.4718196457326892,0.6431561996779388,0.9548022598870057,0.10893141945773524,0.6667812962497557,0.12149033821242147,"(np.float64(0.56), np.float64(0.773))"
Random Forest 1000,0.9548022598870056,0.9717514124293786,0.9661016949152542,0.9265536723163842,0.9519774011299436,0.2727272727272727,0.2857142857142857,0.0,0.0,0.10526315789473684,0.7695086705202312,0.7655346820809249,0.6914739884393064,0.4669887278582931,0.6447665056360707,0.9542372881355933,0.13274094326725905,0.6676545149069654,0.12380709038792889,"(np.float64(0.559), np.float64(0.776))"
KNN 1,0.923728813559322,0.867231638418079,0.8757062146892656,0.8898305084745762,0.8813559322033898,0.18181818181818182,0.04081632653061224,0.0,0.04878048780487805,0.045454545454545456,0.6557080924855492,0.5046965317919075,0.44797687861271673,0.5106280193236715,0.506280193236715,0.8875706214689265,0.06337390832164351,0.5250579430901119,0.07743766153741845,"(np.float64(0.457), np.float64(0.593))"
KNN 3,0.9067796610169492,0.867231638418079,0.867231638418079,0.8587570621468926,0.884180790960452,0.15384615384615385,0.0784313725490196,0.04081632653061224,0.038461538461538464,0.1276595744680851,0.6679913294797687,0.6179552023121387,0.44960260115606937,0.4318840579710145,0.5698872785829306,0.8768361581920903,0.08784299317108184,0.5474640939003843,0.10360287949716183,"(np.float64(0.457), np.float64(0.638))"
KNN 5,0.9067796610169492,0.8559322033898306,0.8813559322033898,0.8757062146892656,0.8615819209039548,0.15384615384615385,0.03773584905660377,0.045454545454545456,0.043478260869565216,0.07547169811320754,0.6885838150289018,0.5657514450867052,0.47615606936416177,0.43993558776167474,0.581159420289855,0.876271186440678,0.07119730146801517,0.5503172675062598,0.09745651456271412,"(np.float64(0.465), np.float64(0.636))"
KNN 7,0.9180790960451978,0.8389830508474576,0.9011299435028248,0.8728813559322034,0.8785310734463276,0.17142857142857143,0.03389830508474576,0.10256410256410256,0.0425531914893617,0.0851063829787234,0.7456647398843932,0.5838150289017341,0.510657514450867,0.42399355877616746,0.5611916264090177,0.8819209039548023,0.08711011070910098,0.5650644936844358,0.11815684350109416,"(np.float64(0.461), np.float64(0.669))"
Decision Tree 1,0.9774011299435028,0.940677966101695,0.8926553672316384,0.9745762711864406,0.8983050847457628,0.0,0.08695652173913043,0.13636363636363635,0.0,0.14285714285714285,0.6492052023121387,0.5422687861271676,0.6398121387283238,0.5101449275362319,0.6231884057971014,0.936723163841808,0.07323546019198193,0.5929238921001927,0.06265048099528849,"(np.float64(0.538), np.float64(0.648))"
