Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.9689265536723164,0.9661016949152542,0.980225988700565,0.980225988700565,0.9548022598870056,0.0,0.0,0.0,0.0,0.0,0.6329479768786127,0.7144249512670566,0.6143266475644699,0.6428571428571429,0.7200541394089781,0.9700564971751412,0.0,0.6649221715952519,0.048885531456632346,"(np.float64(0.622), np.float64(0.708))"
Random Forest 200,0.9689265536723164,0.9661016949152542,0.980225988700565,0.9830508474576272,0.9548022598870056,0.0,0.0,0.0,0.0,0.0,0.6242774566473989,0.7049220272904483,0.6200573065902579,0.6635714285714286,0.72546808030679,0.9706214689265537,0.0,0.6676592598812647,0.04715668226174384,"(np.float64(0.626), np.float64(0.709))"
Random Forest 300,0.9661016949152542,0.9661016949152542,0.980225988700565,0.9830508474576272,0.9548022598870056,0.0,0.0,0.0,0.0,0.0,0.619942196531792,0.7044346978557505,0.617191977077364,0.6728571428571429,0.7117076471915182,0.9700564971751412,0.0,0.6652267323027135,0.04503884453026275,"(np.float64(0.626), np.float64(0.705))"
Random Forest 500,0.9689265536723164,0.9661016949152542,0.980225988700565,0.9858757062146892,0.9548022598870056,0.0,0.0,0.0,0.0,0.0,0.6304190751445087,0.7136939571150097,0.6074498567335244,0.6578571428571429,0.7189262350552674,0.9711864406779661,0.0,0.6656692533810906,0.04958775188574827,"(np.float64(0.622), np.float64(0.709))"
Random Forest 1000,0.9689265536723164,0.9661016949152542,0.980225988700565,0.9858757062146892,0.9548022598870056,0.0,0.0,0.0,0.0,0.0,0.6311416184971099,0.7083333333333333,0.6103151862464183,0.6442857142857144,0.7135122941574554,0.9711864406779661,0.0,0.6615176293040064,0.04673458681690654,"(np.float64(0.621), np.float64(0.702))"
KNN 1,0.8926553672316384,0.903954802259887,0.8954802259887006,0.8587570621468926,0.8587570621468926,0.09523809523809523,0.15,0.05128205128205128,0.0,0.07407407407407407,0.578757225433526,0.5884502923976609,0.5527220630372492,0.4342857142857143,0.519738326189939,0.8819209039548023,0.07411884411884412,0.5347907242688178,0.062172677089894705,"(np.float64(0.48), np.float64(0.589))"
KNN 3,0.8728813559322034,0.884180790960452,0.8870056497175142,0.8418079096045198,0.8587570621468926,0.0,0.08888888888888889,0.047619047619047616,0.0,0.07407407407407407,0.5946531791907514,0.6111111111111112,0.5767908309455587,0.34571428571428575,0.5135348522445298,0.8689265536723164,0.04211640211640212,0.5283608518412473,0.10859019215921384,"(np.float64(0.433), np.float64(0.624))"
KNN 5,0.884180790960452,0.8954802259887006,0.903954802259887,0.8559322033898306,0.864406779661017,0.046511627906976744,0.13953488372093023,0.05555555555555555,0.0,0.1111111111111111,0.5834537572254336,0.6385233918128655,0.5489971346704872,0.28714285714285714,0.598014888337469,0.8807909604519775,0.07054263565891472,0.5312264058378224,0.14017276694642827,"(np.float64(0.408), np.float64(0.654))"
KNN 7,0.8926553672316384,0.8926553672316384,0.903954802259887,0.864406779661017,0.8785310734463276,0.09523809523809523,0.05,0.10526315789473684,0.0,0.044444444444444446,0.6790101156069365,0.6001461988304094,0.5489971346704872,0.37285714285714283,0.5492894202571621,0.8864406779661017,0.0589891395154553,0.5500600024444277,0.11240477712686654,"(np.float64(0.452), np.float64(0.649))"
Decision Tree 1,0.9745762711864406,0.9661016949152542,0.9830508474576272,0.9887005649717514,0.963276836158192,0.0,0.0,0.0,0.0,0.0,0.4985549132947977,0.5,0.498567335243553,0.5,0.5,0.975141242937853,0.0,0.4994244497076702,0.0007881169321415555,"(np.float64(0.499), np.float64(0.5))"
