Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.9567430025445293,0.9592875318066157,0.9694656488549618,0.9618320610687023,0.9668367346938775,0.6530612244897959,0.7037037037037037,0.7857142857142857,0.7169811320754716,0.7547169811320755,0.8537457912457912,0.9160249057840406,0.8801409143044404,0.9085695559560871,0.8847387524267748,0.9628329957937375,0.7228354654230664,0.8886439839434269,0.024759746469415467,"(0.867, 0.91)"
Random Forest 200,0.9567430025445293,0.9592875318066157,0.9694656488549618,0.9618320610687023,0.9668367346938775,0.6530612244897959,0.7037037037037037,0.7857142857142857,0.7169811320754716,0.7547169811320755,0.8526936026936026,0.9148779288874325,0.8754710797968213,0.9082418482713419,0.8884949776314679,0.9628329957937375,0.7228354654230664,0.8879558874561333,0.025178891398380365,"(0.866, 0.91)"
Random Forest 300,0.9567430025445293,0.9592875318066157,0.9694656488549618,0.9618320610687023,0.9668367346938775,0.6530612244897959,0.7037037037037037,0.7857142857142857,0.7169811320754716,0.7547169811320755,0.852104377104377,0.912092413567098,0.8757168605603802,0.9112731443552351,0.8893390731830844,0.9628329957937375,0.7228354654230664,0.8881051737540349,0.025313991717144203,"(0.866, 0.91)"
Random Forest 500,0.9567430025445293,0.9592875318066157,0.9694656488549618,0.9618320610687023,0.9668367346938775,0.6530612244897959,0.7037037037037037,0.7857142857142857,0.7169811320754716,0.7547169811320755,0.850925925925926,0.9136490250696379,0.877601179747665,0.9091430444043912,0.8867223769730733,0.9628329957937375,0.7228354654230664,0.8876083104241387,0.025438103613374022,"(0.865, 0.91)"
Random Forest 1000,0.9567430025445293,0.9592875318066157,0.9694656488549618,0.9618320610687023,0.9668367346938775,0.6530612244897959,0.7037037037037037,0.7857142857142857,0.7169811320754716,0.7547169811320755,0.8543771043771045,0.915287563493364,0.8809601835163033,0.9080779944289694,0.8904363974001858,0.9628329957937375,0.7228354654230664,0.8898278486431854,0.02406774806076596,"(0.869, 0.911)"
KNN 1,0.9210526315789473,0.9023746701846965,0.8944591029023746,0.9155672823218998,0.9234828496042217,0.4827586206896552,0.39344262295081966,0.375,0.4666666666666667,0.5084745762711864,0.6914314858891533,0.6586967945349449,0.654361534419338,0.6884910485933502,0.7060954816709293,0.911387307318428,0.44526849731566565,0.6798152690215431,0.022331243764239193,"(0.66, 0.699)"
KNN 3,0.9131578947368421,0.9287598944591029,0.9313984168865436,0.920844327176781,0.9393139841688655,0.2978723404255319,0.37209302325581395,0.4583333333333333,0.375,0.5306122448979592,0.7211832709962598,0.7149238045191803,0.678884217901559,0.7453111679454391,0.7875106564364877,0.9266949034856271,0.40678218838252767,0.7295626235597851,0.040183331547090126,"(0.694, 0.765)"
KNN 5,0.9131578947368421,0.9261213720316622,0.9366754617414248,0.9287598944591029,0.9340369393139841,0.2978723404255319,0.2631578947368421,0.4782608695652174,0.37209302325581395,0.4444444444444444,0.6981468888133288,0.7393589069889648,0.7459274829217025,0.7329497016197785,0.7932651321398125,0.9277503124566031,0.37116571448556995,0.7419296224967175,0.034115585749999934,"(0.712, 0.772)"
KNN 7,0.9236842105263158,0.9261213720316622,0.9366754617414248,0.9261213720316622,0.9340369393139841,0.2926829268292683,0.2631578947368421,0.45454545454545453,0.3,0.4186046511627907,0.7018446106766407,0.7833683657383079,0.7670345069189,0.7508098891730606,0.7797527706734869,0.9293278711290098,0.3457981854548712,0.7565620286360792,0.0331404057119778,"(0.728, 0.786)"
Decision Tree 1,0.9465648854961832,0.9516539440203562,0.9541984732824428,0.9491094147582697,0.9413265306122449,0.5333333333333333,0.6122448979591837,0.64,0.5833333333333334,0.46511627906976744,0.6818181818181819,0.7205882352941176,0.7352941176470589,0.7058823529411764,0.6515151515151515,0.9485706496338994,0.5668055687391236,0.6990196078431372,0.03309344893715435,"(0.67, 0.728)"
Decision Tree 2,0.9567430025445293,0.9592875318066157,0.9694656488549618,0.9618320610687023,0.9668367346938775,0.6530612244897959,0.7037037037037037,0.7857142857142857,0.7169811320754716,0.7547169811320755,0.7424242424242424,0.7780190070457154,0.8235294117647058,0.7794117647058824,0.803030303030303,0.9628329957937375,0.7228354654230664,0.7852829457941697,0.030421476279786645,"(0.759, 0.812)"
Decision Tree 3,0.9567430025445293,0.9592875318066157,0.9694656488549618,0.9618320610687023,0.9668367346938775,0.6530612244897959,0.7037037037037037,0.7857142857142857,0.7169811320754716,0.7547169811320755,0.779419191919192,0.8847288218908733,0.8322955923316402,0.8614615762739637,0.8798007934498187,0.9628329957937375,0.7228354654230664,0.8475411951730976,0.043273588957914,"(0.81, 0.885)"
Decision Tree 4,0.9541984732824428,0.9592875318066157,0.9643765903307888,0.9567430025445293,0.9668367346938775,0.64,0.7037037037037037,0.7586206896551724,0.6909090909090909,0.7547169811320755,0.8162037037037037,0.8958708831722104,0.8309847615926594,0.9013599868916925,0.8773951211277117,0.9602884665316509,0.7095900930800086,0.8643628912975956,0.03861600879498593,"(0.831, 0.898)"
Decision Tree 5,0.9541984732824428,0.9567430025445293,0.9694656488549618,0.9567430025445293,0.9668367346938775,0.64,0.7017543859649122,0.7857142857142857,0.6909090909090909,0.7547169811320755,0.8103114478114478,0.891938390955268,0.8893167294773062,0.8624856627887922,0.8473453194901662,0.9607973723840683,0.714618948744073,0.8602795101045961,0.03359468890860677,"(0.831, 0.89)"
Decision Tree 6,0.9541984732824428,0.9567430025445293,0.9567430025445293,0.9592875318066157,0.9617346938775511,0.64,0.7017543859649122,0.7213114754098361,0.7142857142857143,0.7272727272727273,0.842845117845118,0.8843191872849419,0.8769048009175815,0.8585531705718499,0.8209673335021525,0.9577413408111337,0.700924860586638,0.8567179220243288,0.025706357852413923,"(0.834, 0.879)"
Decision Tree 7,0.9541984732824428,0.9541984732824428,0.9567430025445293,0.9567430025445293,0.9617346938775511,0.64,0.6896551724137931,0.7213114754098361,0.6909090909090909,0.7272727272727273,0.8323653198653199,0.88923480255612,0.8839914796001966,0.8571604129116828,0.8214737908331222,0.9567235291062991,0.6938296932010894,0.8568451611532882,0.030151730161412805,"(0.83, 0.883)"
Logistic Regression 0.5,0.9105263157894737,0.9129287598944591,0.9102902374670184,0.9102902374670184,0.9102902374670184,0.0,0.0,0.0,0.0,0.0,0.5003400204012242,0.512173760728674,0.5460676125416011,0.5202046035805626,0.5335038363171356,0.9108651576169976,0.0,0.5224579667138396,0.017884858810239594,"(0.507, 0.538)"
Logistic Regression 0.3,0.9052631578947369,0.9129287598944591,0.9102902374670184,0.9129287598944591,0.9050131926121372,0.0,0.0,0.0,0.05714285714285714,0.0,0.5003400204012242,0.512173760728674,0.5460676125416011,0.5202046035805626,0.5335038363171356,0.9092848215525621,0.011428571428571429,0.5224579667138396,0.017884858810239594,"(0.507, 0.538)"
