Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.9746478873239437,0.9664804469273743,0.9829545454545454,0.9829059829059829,0.9689265536723164,0.0,0.0,0.0,0.0,0.0,0.5794797687861272,0.7166425818882466,0.7341040462427746,0.6516908212560386,0.6611916264090176,0.9751830832568326,0.0,0.6686217689164409,0.06099608043946096,"(np.float64(0.615), np.float64(0.722))"
Random Forest 200,0.9746478873239437,0.9664804469273743,0.9829545454545454,0.9829059829059829,0.9689265536723164,0.0,0.0,0.0,0.0,0.0,0.5876685934489403,0.7285645472061656,0.7307321772639692,0.6536231884057971,0.6747181964573269,0.9751830832568326,0.0,0.6750613405564398,0.05928541039754615,"(np.float64(0.623), np.float64(0.727))"
Random Forest 300,0.9746478873239437,0.9664804469273743,0.9829545454545454,0.9829059829059829,0.9689265536723164,0.0,0.0,0.0,0.0,0.0,0.5879897238278741,0.7341040462427746,0.7177263969171483,0.6719806763285024,0.6727858293075684,0.9751830832568326,0.0,0.6769173345247737,0.056756628344688545,"(np.float64(0.627), np.float64(0.727))"
Random Forest 500,0.9746478873239437,0.9664804469273743,0.9829545454545454,0.9829059829059829,0.9689265536723164,0.0,0.0,0.0,0.0,0.0,0.5738599871547848,0.736271676300578,0.714354527938343,0.6681159420289855,0.6698872785829307,0.9751830832568326,0.0,0.6724978824011244,0.06239897153861342,"(np.float64(0.618), np.float64(0.727))"
Random Forest 1000,0.9746478873239437,0.9664804469273743,0.9829545454545454,0.9829059829059829,0.9689265536723164,0.0,0.0,0.0,0.0,0.0,0.5786769428387926,0.7379576107899807,0.7114643545279384,0.6797101449275361,0.674074074074074,0.9751830832568326,0.0,0.6763766254316643,0.06038420440099854,"(np.float64(0.623), np.float64(0.729))"
KNN 1,0.923943661971831,0.9050279329608939,0.8977272727272727,0.9202279202279202,0.9067796610169492,0.06896551724137931,0.19047619047619047,0.0,0.0,0.10810810810810811,0.5280989081567117,0.6290944123314065,0.45664739884393063,0.4681159420289855,0.5734299516908212,0.9107412897809735,0.07350996316513558,0.5310773226103711,0.07230822051581978,"(np.float64(0.468), np.float64(0.594))"
KNN 3,0.9380281690140845,0.9217877094972067,0.9119318181818182,0.9316239316239316,0.923728813559322,0.08333333333333333,0.2222222222222222,0.0,0.0,0.12903225806451613,0.5247270391779063,0.7184489402697496,0.47904624277456653,0.5710144927536231,0.5832528180354266,0.9254200883752726,0.08691756272401432,0.5752979066022543,0.08999394717400419,"(np.float64(0.496), np.float64(0.654))"
KNN 5,0.9295774647887324,0.9329608938547486,0.9176136363636364,0.9287749287749287,0.9152542372881356,0.07407407407407407,0.2,0.0,0.0,0.11764705882352941,0.5271355170199101,0.6976156069364163,0.5301059730250481,0.5357487922705314,0.5958132045088567,0.9248362322140362,0.0783442265795207,0.5772838187521525,0.07295347336325175,"(np.float64(0.513), np.float64(0.641))"
KNN 7,0.9323943661971831,0.9441340782122905,0.9119318181818182,0.9401709401709402,0.9209039548022598,0.14285714285714285,0.23076923076923078,0.0,0.0,0.0,0.550256904303147,0.7596339113680154,0.5267341040462428,0.5454106280193236,0.5967793880837359,0.9299070315128983,0.07472527472527472,0.595762987164093,0.09516546540574224,"(np.float64(0.512), np.float64(0.679))"
Decision Tree 1,0.9746478873239437,0.9664804469273743,0.9829545454545454,0.9829059829059829,0.9717514124293786,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4985507246376812,0.975748055008245,0.0,0.49971014492753624,0.0006481356456521009,"(np.float64(0.499), np.float64(0.5))"
