Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.7652733118971061,0.7845659163987139,0.797427652733119,0.7942122186495176,0.7806451612903226,0.546583850931677,0.593939393939394,0.6134969325153374,0.6097560975609756,0.575,0.8083457804331591,0.8694258639910815,0.8495215533259012,0.8740942028985508,0.8263214670981661,0.7844248521937558,0.5877552549894768,0.8455417735493718,0.028082431024649995,"(np.float64(0.821), np.float64(0.87))"
Random Forest 200,0.7717041800643086,0.7845659163987139,0.7845659163987139,0.7909967845659164,0.7774193548387097,0.5644171779141104,0.588957055214724,0.5786163522012578,0.6012269938650306,0.5714285714285714,0.8087658700522778,0.869751021924935,0.8542131178000744,0.8732813080639168,0.8304488532432813,0.7818504304532725,0.5809292301247388,0.847292034216897,0.027366530436281428,"(np.float64(0.823), np.float64(0.871))"
Random Forest 300,0.7684887459807074,0.7813504823151125,0.7845659163987139,0.7942122186495176,0.7806451612903226,0.5609756097560976,0.5853658536585366,0.5786163522012578,0.6097560975609756,0.5802469135802469,0.8055451829723674,0.8706335934596804,0.8516583054626532,0.8744425863991082,0.8297922236292857,0.7818525049268749,0.582992165351423,0.846414378384619,0.028923332955031095,"(np.float64(0.821), np.float64(0.872))"
Random Forest 500,0.7652733118971061,0.7845659163987139,0.7845659163987139,0.7942122186495176,0.7806451612903226,0.5575757575757576,0.588957055214724,0.5786163522012578,0.6049382716049383,0.5802469135802469,0.8041448842419716,0.8714697138610182,0.8527034559643255,0.8740709773318469,0.8307302659349937,0.7818525049268749,0.5820668700353849,0.8466238594668312,0.029430816777465826,"(np.float64(0.821), np.float64(0.872))"
Random Forest 1000,0.7620578778135049,0.7845659163987139,0.7845659163987139,0.8006430868167203,0.7806451612903226,0.5542168674698795,0.588957055214724,0.5786163522012578,0.6172839506172839,0.5802469135802469,0.8040982076176252,0.8709123002601263,0.8499163879598661,0.8769973987365292,0.8305426574738521,0.7824955917435952,0.5838642278166783,0.8464933904095997,0.029959439245749963,"(np.float64(0.82), np.float64(0.873))"
KNN 1,0.8038585209003215,0.8327974276527331,0.8360128617363344,0.8810289389067524,0.8096774193548387,0.7239819004524887,0.7699115044247787,0.7792207792207793,0.8310502283105022,0.7230046948356808,0.797003360716953,0.8337281679672984,0.8433203270159791,0.8795289855072465,0.794076262839454,0.8326750337101961,0.765433821448846,0.8295314208093861,0.035435314365926604,"(np.float64(0.798), np.float64(0.861))"
KNN 3,0.7813504823151125,0.7942122186495176,0.7781350482315113,0.8553054662379421,0.7741935483870968,0.6909090909090909,0.7168141592920354,0.6986899563318777,0.7963800904977375,0.6759259259259259,0.8352081777445854,0.8793664065403195,0.864223337049424,0.9218227424749164,0.8387270765911543,0.796639352764236,0.7157438445913334,0.86786954808008,0.035257866325888995,"(np.float64(0.837), np.float64(0.899))"
KNN 5,0.7717041800643086,0.8006430868167203,0.8135048231511254,0.842443729903537,0.7967741935483871,0.6757990867579908,0.7207207207207207,0.7456140350877193,0.772093023255814,0.6865671641791045,0.823212285287528,0.8789715719063547,0.8905379041248607,0.9173866592344854,0.8566202335725341,0.8050140026968157,0.7201588060002699,0.8733457308251525,0.03556658862477336,"(np.float64(0.842), np.float64(0.905))"
KNN 7,0.7556270096463023,0.7845659163987139,0.8070739549839229,0.8488745980707395,0.7967741935483871,0.6513761467889908,0.6940639269406392,0.7321428571428571,0.7772511848341233,0.6802030456852792,0.8319174757281553,0.881479933110368,0.8867985878855443,0.9255388331475288,0.869752825852446,0.7985831345296132,0.7070074322783779,0.8790975311448085,0.03367141885886672,"(np.float64(0.85), np.float64(0.909))"
Decision Tree 1,0.7234726688102894,0.7491961414790996,0.77491961414791,0.752411575562701,0.7290322580645161,0.4691358024691358,0.5465116279069767,0.5679012345679012,0.5443786982248521,0.48148148148148145,0.6339852501867065,0.675236900780379,0.6921683389074693,0.6752601263470829,0.6410112096055532,0.7458064516129033,0.5218817689300694,0.6635323651654381,0.024873630513901335,"(np.float64(0.642), np.float64(0.685))"
Decision Tree 2,0.7331189710610932,0.7717041800643086,0.7620578778135049,0.7684887459807074,0.7419354838709677,0.4713375796178344,0.5534591194968553,0.5256410256410257,0.5384615384615384,0.4936708860759494,0.7018530619865572,0.746214232627276,0.7130713489409142,0.7484671125975474,0.7375123118052624,0.7554610517581164,0.5165140298586406,0.7294236135915115,0.02084189684142755,"(np.float64(0.711), np.float64(0.748))"
Decision Tree 3,0.7395498392282959,0.7781350482315113,0.7684887459807074,0.7781350482315113,0.7322580645161291,0.4489795918367347,0.5548387096774193,0.5263157894736842,0.5605095541401274,0.4028776978417266,0.7146424570575056,0.7940821256038647,0.7700204384986994,0.7870447788926049,0.7592045401247596,0.759313349237631,0.4987042685939384,0.7649988680354868,0.03133056250989597,"(np.float64(0.738), np.float64(0.792))"
Decision Tree 4,0.7041800643086816,0.7588424437299035,0.77491961414791,0.7813504823151125,0.7322580645161291,0.5576923076923077,0.5454545454545454,0.5394736842105263,0.569620253164557,0.42758620689655175,0.7647731516056759,0.8185618729096991,0.7778474544778893,0.8172380156075808,0.7681159420289855,0.7503101338035474,0.5279653994836976,0.789307287325966,0.026543742482742938,"(np.float64(0.766), np.float64(0.813))"
Decision Tree 5,0.7556270096463023,0.7556270096463023,0.7684887459807074,0.7909967845659164,0.7548387096774194,0.525,0.5913978494623656,0.5555555555555556,0.6368715083798883,0.5189873417721519,0.793385922330097,0.8178418803418803,0.7829338535860275,0.838628762541806,0.7825617935368885,0.7651156519033295,0.5655624510339923,0.8030704424673398,0.024507480115343084,"(np.float64(0.782), np.float64(0.825))"
Decision Tree 6,0.7588424437299035,0.7781350482315113,0.7427652733118971,0.8231511254019293,0.7483870967741936,0.5945945945945946,0.5714285714285714,0.5348837209302325,0.6994535519125683,0.6176470588235294,0.8211351755041076,0.8106651802303976,0.7601960237829801,0.8695187662578968,0.8051920641620938,0.7702561974898869,0.6036014995378992,0.8133414419874953,0.03909809540238588,"(np.float64(0.779), np.float64(0.848))"
