Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.8044444444444444,0.8262806236080178,0.8285077951002228,0.8262806236080178,0.8396436525612472,0.3972602739726027,0.44285714285714284,0.45390070921985815,0.5185185185185185,0.5384615384615384,0.8279791018230325,0.8296060384982322,0.8717660923733095,0.8360089186176143,0.849721293199554,0.82503142786439,0.4701996366059321,0.8430162889023485,0.018211008564267182,"(np.float64(0.827), np.float64(0.859))"
Random Forest 200,0.8044444444444444,0.8240534521158129,0.8285077951002228,0.821826280623608,0.8374164810690423,0.3888888888888889,0.44755244755244755,0.45390070921985815,0.5121951219512195,0.535031847133758,0.8252556691863049,0.8365508726640104,0.8694371176833716,0.8354515050167224,0.8517279821627647,0.8232496906706261,0.4675138029492344,0.8436846293426348,0.01722053696381316,"(np.float64(0.829), np.float64(0.859))"
Random Forest 300,0.8044444444444444,0.8240534521158129,0.8307349665924276,0.8240534521158129,0.8396436525612472,0.3888888888888889,0.44755244755244755,0.4647887323943662,0.5212121212121212,0.5384615384615384,0.8266173855046687,0.8379538694651776,0.8703911555081655,0.8375418060200669,0.851365663322185,0.8245859935659491,0.4721807457018724,0.8447739759640527,0.01679412205123534,"(np.float64(0.83), np.float64(0.859))"
Random Forest 500,0.8044444444444444,0.8262806236080178,0.8329621380846325,0.821826280623608,0.8374164810690423,0.3888888888888889,0.4507042253521127,0.4755244755244755,0.5121951219512195,0.535031847133758,0.8255057803468208,0.8360177338795668,0.8678938212020877,0.8371794871794872,0.8494147157190635,0.8245859935659491,0.4724689117700909,0.8432023076654052,0.016196638546195997,"(np.float64(0.829), np.float64(0.857))"
Random Forest 1000,0.8044444444444444,0.821826280623608,0.8329621380846325,0.8262806236080178,0.8396436525612472,0.3888888888888889,0.43661971830985913,0.4755244755244755,0.5185185185185185,0.5384615384615384,0.828757225433526,0.837336550872664,0.8715696728211461,0.8392419175027871,0.8500000000000001,0.82503142786439,0.4716026279406561,0.8453810733260246,0.016476749691709383,"(np.float64(0.831), np.float64(0.86))"
KNN 1,0.8755555555555555,0.844097995545657,0.8619153674832962,0.8463251670378619,0.8819599109131403,0.72,0.6759259259259259,0.7327586206896551,0.7112970711297071,0.7557603686635944,0.8114717652289907,0.7965654638307426,0.8490375441943993,0.8361900780379041,0.8493032329988851,0.8619707993071023,0.7191483972817765,0.8285136168581844,0.023576879445973913,"(np.float64(0.808), np.float64(0.849))"
KNN 3,0.8577777777777778,0.8262806236080178,0.8797327394209354,0.8285077951002228,0.8797327394209354,0.6923076923076923,0.6320754716981132,0.7589285714285714,0.6778242677824268,0.7452830188679245,0.8675522454424189,0.8456422919355744,0.907640720579157,0.8652591973244147,0.8854654403567448,0.8544063350655777,0.7012838044169456,0.8743119791276619,0.02337093561292542,"(np.float64(0.854), np.float64(0.895))"
KNN 5,0.8444444444444444,0.8396436525612472,0.8596881959910914,0.8262806236080178,0.8708240534521158,0.6568627450980392,0.64,0.704225352112676,0.6578947368421053,0.7238095238095238,0.8525594708759447,0.8698860766597452,0.9043857680004489,0.8714604236343366,0.8984253065774805,0.8481761940113832,0.6765584715724688,0.8793434091495911,0.021565020833327144,"(np.float64(0.86), np.float64(0.898))"
KNN 7,0.8422222222222222,0.8374164810690423,0.8552338530066815,0.8351893095768375,0.8619153674832962,0.6432160804020101,0.6439024390243903,0.6889952153110048,0.6636363636363637,0.7047619047619048,0.8595486883059137,0.8652281272798699,0.9106711936696784,0.8707775919732441,0.9021599777034561,0.8463954466716158,0.6689024006271348,0.8816771157864324,0.02312596122118742,"(np.float64(0.861), np.float64(0.902))"
Decision Tree 1,0.7666666666666667,0.779510022271715,0.7884187082405345,0.7951002227171492,0.7884187082405345,0.4198895027624309,0.44692737430167595,0.4692737430167598,0.5157894736842106,0.4973544973544973,0.6263339261894175,0.6421516358942702,0.6547505471687525,0.681953734671126,0.6708890746934225,0.78362286562732,0.46984691822391494,0.6552157837233976,0.022167657571789064,"(np.float64(0.636), np.float64(0.675))"
Decision Tree 2,0.7977777777777778,0.7951002227171492,0.8240534521158129,0.821826280623608,0.8040089086859689,0.4129032258064516,0.4177215189873418,0.5031446540880503,0.5348837209302325,0.5,0.7039795464650955,0.6974156798922498,0.729151467534654,0.7306577480490524,0.728149386845039,0.8085533283840635,0.4737306239624153,0.7178707657572181,0.015872836162412723,"(np.float64(0.704), np.float64(0.732))"
Decision Tree 3,0.8044444444444444,0.821826280623608,0.8106904231625836,0.8195991091314031,0.8351893095768375,0.42105263157894735,0.4520547945205479,0.37037037037037035,0.5207100591715976,0.5432098765432098,0.7519730991551801,0.7668780515180424,0.7896907795050228,0.7703734671125976,0.7771878483835006,0.8183499133877753,0.46147954643693456,0.7712206491348688,0.013845551942993254,"(np.float64(0.759), np.float64(0.783))"
Decision Tree 4,0.8088888888888889,0.8262806236080178,0.8240534521158129,0.821826280623608,0.8106904231625836,0.4266666666666667,0.4583333333333333,0.4697986577181208,0.5238095238095238,0.519774011299435,0.7873638283681637,0.7957797856220888,0.795597396037937,0.7993589743589744,0.8078874024526198,0.8183479336797822,0.479676438565416,0.7971974773679568,0.007419860685316106,"(np.float64(0.791), np.float64(0.804))"
Decision Tree 5,0.8044444444444444,0.8195991091314031,0.8262806236080178,0.8374164810690423,0.8307349665924276,0.47619047619047616,0.4774193548387097,0.5517241379310345,0.6137566137566137,0.5913978494623656,0.7782903512672299,0.8107217015545205,0.8325242718446602,0.8238433667781494,0.825278706800446,0.8236951249690672,0.5420976864358399,0.8141316796490011,0.02152376186717908,"(np.float64(0.795), np.float64(0.833))"
Decision Tree 6,0.82,0.8106904231625836,0.8307349665924276,0.8530066815144766,0.844097995545657,0.5263157894736842,0.5251396648044693,0.5730337078651685,0.6162790697674418,0.6022727272727273,0.8073727212094264,0.8042117963971043,0.8437622762220103,0.8501393534002231,0.8416109253065776,0.8317060133630289,0.5686081918366982,0.8294194145070684,0.021823995862482664,"(np.float64(0.81), np.float64(0.849))"
Decision Tree 7,0.8266666666666667,0.8285077951002228,0.8374164810690423,0.8463251670378619,0.8329621380846325,0.524390243902439,0.56,0.6010928961748634,0.6057142857142858,0.585635359116022,0.8209620942641174,0.8308266457152478,0.8439025759021269,0.840273132664437,0.8571906354515051,0.8343756495916853,0.5753665569815221,0.8386310167994868,0.013675199778945518,"(np.float64(0.827), np.float64(0.851))"
Logistic Regression 0.5,0.8088888888888889,0.7817371937639198,0.7951002227171492,0.7839643652561247,0.7817371937639198,0.3384615384615385,0.24615384615384617,0.2459016393442623,0.2706766917293233,0.2222222222222222,0.6518452645620276,0.6917616027835457,0.706549189067849,0.7279264214046823,0.7185340022296545,0.7902855728780004,0.2646831875822385,0.6993232960095519,0.029794069128397525,"(np.float64(0.673), np.float64(0.725))"
