Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.9782608695652174,0.9755434782608695,0.9755434782608695,0.9782016348773842,0.9782016348773842,0.0,0.0,0.0,0.0,0.0,0.6635416666666667,0.6463943051686785,0.6453110492107705,0.6309192200557103,0.6727019498607243,0.977150219168345,0.0,0.6517736381925101,0.016447566380798872,"(np.float64(0.637), np.float64(0.666))"
Random Forest 200,0.9782608695652174,0.9755434782608695,0.9755434782608695,0.9782016348773842,0.9782016348773842,0.0,0.0,0.0,0.0,0.0,0.6633680555555556,0.6262766945218199,0.6697616836892603,0.6431058495821728,0.7308495821727019,0.977150219168345,0.0,0.666672373104302,0.03976923558864526,"(np.float64(0.632), np.float64(0.702))"
Random Forest 300,0.9782608695652174,0.9755434782608695,0.9755434782608695,0.9782016348773842,0.9782016348773842,0.0,0.0,0.0,0.0,0.0,0.6762152777777778,0.6194676570721139,0.6908077994428969,0.6267409470752089,0.7061281337047354,0.977150219168345,0.0,0.6638719630145465,0.03877478367365164,"(np.float64(0.63), np.float64(0.698))"
Random Forest 500,0.9782608695652174,0.9755434782608695,0.9755434782608695,0.9782016348773842,0.9782016348773842,0.0,0.0,0.0,0.0,0.0,0.6678819444444444,0.6163726400495203,0.7214484679665738,0.618732590529248,0.7026462395543176,0.977150219168345,0.0,0.6654163765088208,0.04773992291582983,"(np.float64(0.624), np.float64(0.707))"
Random Forest 1000,0.9782608695652174,0.9755434782608695,0.9755434782608695,0.9782016348773842,0.9782016348773842,0.0,0.0,0.0,0.0,0.0,0.6682291666666667,0.596564531104921,0.7140204271123491,0.621866295264624,0.6915041782729805,0.977150219168345,0.0,0.6584369196843083,0.04859130845249229,"(np.float64(0.616), np.float64(0.701))"

KNN 1,0.980225988700565,0.9519774011299436,0.9463276836158192,0.96045197740113,0.96045197740113,0.46153846153846156,0.10526315789473684,0.0,0.125,0.0,0.6846098265895953,0.5480491329479769,0.4841040462427746,0.5468599033816425,0.4927536231884058,0.9598870056497175,0.13836032388663969,0.551275306470079,0.08022587464492754,"(np.float64(0.481), np.float64(0.622))"
KNN 3,0.9745762711864406,0.9745762711864406,0.980225988700565,0.9661016949152542,0.9689265536723164,0.0,0.0,0.2222222222222222,0.0,0.0,0.6609465317919075,0.5233020231213873,0.5346820809248555,0.5231884057971015,0.5800322061191626,0.9728813559322035,0.04444444444444444,0.564430249550883,0.058813663396436545,"(np.float64(0.513), np.float64(0.616))"
KNN 5,0.9774011299435028,0.9745762711864406,0.9774011299435028,0.9745762711864406,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.7120664739884393,0.4998193641618497,0.5233020231213872,0.5012882447665057,0.5597423510466989,0.9757062146892655,0.0,0.559243691416976,0.08879321415564513,"(np.float64(0.481), np.float64(0.637))"
KNN 7,0.9774011299435028,0.9774011299435028,0.9774011299435028,0.9745762711864406,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.7527095375722543,0.47940751445086704,0.5130057803468208,0.4877616747181965,0.5388083735909822,0.976271186440678,0.0,0.5543385761358242,0.11330023537888205,"(np.float64(0.455), np.float64(0.654))"

Decision Tree 1,0.9782608695652174,0.9755434782608695,0.970108695652174,0.9782016348773842,0.9782016348773842,0.0,0.0,0.0,0.0,0.0,0.6305555555555555,0.5541627978953885,0.4972144846796657,0.5,0.561107242339833,0.9760632626466059,0.0,0.5486080160940886,0.05455850021133161,"(np.float64(0.501), np.float64(0.596))"
Decision Tree 2,0.9728260869565217,0.9755434782608695,0.9755434782608695,0.9782016348773842,0.9809264305177112,0.0,0.18181818181818182,0.0,0.0,0.2222222222222222,0.6295138888888888,0.6770349736923553,0.49442896935933145,0.5790389972144848,0.6530292479108635,0.9766082217746712,0.0808080808080808,0.6066092154131848,0.07242885379725633,"(np.float64(0.543), np.float64(0.67))"
Decision Tree 3,0.9755434782608695,0.9755434782608695,0.970108695652174,0.9754768392370572,0.9809264305177112,0.0,0.18181818181818182,0.0,0.0,0.2222222222222222,0.6609375000000001,0.6039925719591458,0.718972454348499,0.578690807799443,0.6530292479108635,0.9755197843857364,0.0808080808080808,0.6431245164035903,0.05443190163364473,"(np.float64(0.595), np.float64(0.691))"
Decision Tree 4,0.9755434782608695,0.9755434782608695,0.9619565217391305,0.9754768392370572,0.9809264305177112,0.0,0.18181818181818182,0.0,0.0,0.2222222222222222,0.671875,0.5984215413184772,0.774218508201795,0.5738161559888579,0.6291782729805013,0.9738893496031276,0.0808080808080808,0.6495018956979263,0.07874860739998962,"(np.float64(0.58), np.float64(0.719))"
Decision Tree 5,0.9782608695652174,0.9755434782608695,0.9619565217391305,0.9700272479564033,0.9782016348773842,0.0,0.18181818181818182,0.0,0.0,0.2,0.6925347222222222,0.5959455277004024,0.7578149179820488,0.5814763231197771,0.6432799442896936,0.9727979504798009,0.07636363636363637,0.6542102870628288,0.07246924514192757,"(np.float64(0.591), np.float64(0.718))"
Decision Tree 6,0.967391304347826,0.9728260869565217,0.9565217391304348,0.9673024523160763,0.9673024523160763,0.0,0.16666666666666666,0.1111111111111111,0.0,0.14285714285714285,0.609548611111111,0.6352522438873414,0.7386258124419685,0.6108983286908077,0.5776462395543176,0.9662688070133869,0.08412698412698413,0.6343942471371091,0.0617548693264603,"(np.float64(0.58), np.float64(0.689))"
Decision Tree 7,0.967391304347826,0.9728260869565217,0.9619565217391305,0.9645776566757494,0.9727520435967303,0.0,0.2857142857142857,0.125,0.0,0.16666666666666666,0.625173611111111,0.69900959455277,0.5759826679046736,0.612116991643454,0.5579735376044568,0.9679007226631915,0.11547619047619047,0.6140512805632931,0.05463354132646951,"(np.float64(0.566), np.float64(0.662))"

Logistic Regression 0.5,0.9774011299435028,0.9774011299435028,0.9745762711864406,0.9745762711864406,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.7250722543352601,0.8641618497109826,0.6604046242774566,0.6115942028985506,0.6215780998389694,0.9757062146892655,0.0,0.6965622062122439,0.10374489369598656,"(np.float64(0.606), np.float64(0.787))"
Logistic Regression 0.3,0.9745762711864406,0.9745762711864406,0.9745762711864406,0.9745762711864406,0.9717514124293786,0.0,0.0,0.0,0.0,0.16666666666666666,0.7250722543352601,0.8641618497109826,0.6604046242774566,0.6115942028985506,0.6215780998389694,0.9740112994350282,0.03333333333333333,0.6965622062122439,0.10374489369598656,"(np.float64(0.606), np.float64(0.787))"
Logistic Regression 0.03,0.9152542372881356,0.9265536723163842,0.8870056497175142,0.9209039548022598,0.9265536723163842,0.21052631578947367,0.23529411764705882,0.09090909090909091,0.125,0.23529411764705882,0.7250722543352601,0.8641618497109826,0.6604046242774566,0.6115942028985506,0.6215780998389694,0.9152542372881356,0.17940472839853644,0.6965622062122439,0.10374489369598656,"(np.float64(0.606), np.float64(0.787))"
Logistic Regression 0.01,0.062146892655367235,0.025423728813559324,0.0847457627118644,0.05367231638418079,0.12429378531073447,0.04597701149425287,0.0443213296398892,0.047058823529411764,0.05099150141643059,0.043209876543209874,0.7250722543352601,0.8641618497109826,0.6604046242774566,0.6115942028985506,0.6215780998389694,0.07005649717514124,0.04631170852463885,0.6965622062122439,0.10374489369598656,"(np.float64(0.606), np.float64(0.787))"Random Forest 100,0.9782608695652174,0.9755434782608695,0.9755434782608695,0.9782016348773842,0.9782016348773842,0.0,0.0,0.0,0.0,0.0,0.6635416666666667,0.6463943051686785,0.6453110492107705,0.6309192200557103,0.6727019498607243,0.977150219168345,0.0,0.6517736381925101,0.016447566380798872,"(np.float64(0.637), np.float64(0.666))"
