Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.8587570621468926,0.923728813559322,0.940677966101695,0.8559322033898306,0.9322033898305084,0.16666666666666666,0.18181818181818182,0.08695652173913043,0.0,0.07692307692307693,0.7543352601156069,0.7962427745664741,0.6820809248554913,0.4518518518518519,0.6186795491143318,0.9022598870056496,0.10247288942941117,0.6606380721007511,0.13507386657306594,"(np.float64(0.542), np.float64(0.779))"
Random Forest 200,0.8502824858757062,0.9265536723163842,0.940677966101695,0.8559322033898306,0.9265536723163842,0.13114754098360656,0.1875,0.16,0.0,0.07142857142857142,0.7536127167630058,0.7926300578034682,0.6903901734104047,0.4463768115942029,0.6186795491143318,0.9,0.1100152224824356,0.6603378617370825,0.13658267747586367,"(np.float64(0.541), np.float64(0.78))"
Random Forest 300,0.847457627118644,0.9209039548022598,0.9378531073446328,0.8531073446327684,0.9322033898305084,0.12903225806451613,0.17647058823529413,0.15384615384615385,0.0,0.07692307692307693,0.751806358381503,0.7901011560693642,0.6889450867052024,0.44863123993558773,0.6267310789049919,0.8983050847457628,0.1072544154138082,0.6612429839993298,0.13413461996266074,"(np.float64(0.544), np.float64(0.779))"
Random Forest 500,0.8502824858757062,0.9209039548022598,0.940677966101695,0.8531073446327684,0.9322033898305084,0.13114754098360656,0.17647058823529413,0.16,0.0,0.07692307692307693,0.7528901734104047,0.7850433526011561,0.6918352601156069,0.44702093397745574,0.6305958132045087,0.8994350282485876,0.10890824122839553,0.6614771066618264,0.13368964776401704,"(np.float64(0.544), np.float64(0.779))"
Random Forest 1000,0.8502824858757062,0.9180790960451978,0.9378531073446328,0.8531073446327684,0.9322033898305084,0.13114754098360656,0.17142857142857143,0.15384615384615385,0.0,0.07692307692307693,0.754335260115607,0.7835982658959537,0.6914739884393064,0.44895330112721415,0.6206119162640903,0.8983050847457628,0.10666906863628176,0.6597945463684343,0.13347116146508717,"(np.float64(0.543), np.float64(0.777))"
KNN 1,0.8813559322033898,0.8305084745762712,0.8333333333333334,0.8220338983050848,0.8502824858757062,0.125,0.0625,0.06349206349206349,0.03076923076923077,0.07017543859649122,0.6340317919075146,0.5469653179190751,0.5484104046242776,0.4758454106280193,0.5444444444444445,0.843502824858757,0.0703873465715571,0.5499394739046662,0.056131157046233,"(np.float64(0.501), np.float64(0.599))"
KNN 3,0.847457627118644,0.8192090395480226,0.8333333333333334,0.7796610169491526,0.8163841807909604,0.12903225806451613,0.058823529411764705,0.06349206349206349,0.025,0.08450704225352113,0.7518063583815029,0.5693641618497111,0.493135838150289,0.43349436392914653,0.5705314009661835,0.8192090395480227,0.0721709786443731,0.5636664246553666,0.11978684798196734,"(np.float64(0.459), np.float64(0.669))"
KNN 5,0.844632768361582,0.7966101694915254,0.8333333333333334,0.8135593220338984,0.7994350282485876,0.15384615384615385,0.02702702702702703,0.06349206349206349,0.05714285714285714,0.05333333333333334,0.7579479768786127,0.5066835260115607,0.5440751445086706,0.4595813204508856,0.5808373590982286,0.8175141242937853,0.07096828696828697,0.5698250653895918,0.11436246779247872,"(np.float64(0.47), np.float64(0.67))"
KNN 7,0.8502824858757062,0.7937853107344632,0.8502824858757062,0.7796610169491526,0.7937853107344632,0.15873015873015872,0.02666666666666667,0.07017543859649122,0.04878048780487805,0.0759493670886076,0.7369942196531791,0.5222182080924855,0.5664739884393063,0.41239935587761667,0.6001610305958132,0.8135593220338982,0.07606042377736046,0.5676493605316801,0.1182186798456942,"(np.float64(0.464), np.float64(0.671))"
Decision Tree 1,0.672316384180791,0.8785310734463276,0.8898305084745762,0.6779661016949152,0.8983050847457628,0.07936507936507936,0.1568627450980392,0.13333333333333333,0.05,0.14285714285714285,0.6492052023121387,0.6936416184971097,0.6383670520231214,0.5101449275362319,0.6231884057971014,0.8033898305084746,0.11248366013071895,0.6229094412331406,0.06828132807197018,"(np.float64(0.563), np.float64(0.683))"
Decision Tree 2,0.748587570621469,0.9152542372881356,0.923728813559322,0.7401129943502824,0.923728813559322,0.10101010101010101,0.21052631578947367,0.12903225806451613,0.02127659574468085,0.12903225806451613,0.671242774566474,0.782514450867052,0.6651011560693642,0.3718196457326892,0.6004830917874395,0.8502824858757062,0.11817550573465754,0.6182322238046037,0.15250381614218989,"(np.float64(0.485), np.float64(0.752))"
Decision Tree 3,0.844632768361582,0.9350282485875706,0.9661016949152542,0.7824858757062146,0.9378531073446328,0.09836065573770492,0.25806451612903225,0.14285714285714285,0.02531645569620253,0.08333333333333333,0.6896676300578035,0.7828757225433526,0.7014089595375723,0.3946859903381642,0.4977455716586152,0.8932203389830509,0.12158642075068318,0.6132767748271016,0.16085400040115988,"(np.float64(0.472), np.float64(0.754))"
Decision Tree 4,0.7711864406779662,0.9011299435028248,0.9209039548022598,0.7853107344632768,0.9124293785310734,0.06896551724137931,0.18604651162790697,0.06666666666666667,0.02564102564102564,0.11428571428571428,0.6847904624277458,0.7738439306358382,0.6822615606936416,0.4510466988727858,0.585829307568438,0.8581920903954803,0.09232108709253858,0.6355543920396899,0.12272471183456436,"(np.float64(0.528), np.float64(0.743))"
Decision Tree 5,0.8050847457627118,0.9011299435028248,0.9293785310734464,0.711864406779661,0.884180790960452,0.08,0.18604651162790697,0.0,0.019230769230769232,0.08888888888888889,0.6701589595375723,0.7145953757225433,0.7595736994219653,0.4737520128824476,0.6028985507246376,0.8463276836158192,0.07483323394951302,0.6441957196578333,0.11146613045536,"(np.float64(0.546), np.float64(0.742))"
Decision Tree 6,0.7909604519774012,0.768361581920904,0.9067796610169492,0.8248587570621468,0.9350282485875706,0.075,0.023809523809523808,0.0,0.06060606060606061,0.14814814814814814,0.5664739884393064,0.6535404624277457,0.6035043352601157,0.4391304347826087,0.5950080515297906,0.8451977401129944,0.061512746512746505,0.5715314544879134,0.08039667449380743,"(np.float64(0.501), np.float64(0.642))"
Decision Tree 7,0.7401129943502824,0.8898305084745762,0.9124293785310734,0.8135593220338984,0.844632768361582,0.041666666666666664,0.09302325581395349,0.0,0.029411764705882353,0.06779661016949153,0.5164378612716763,0.6920158959537572,0.6309609826589596,0.44138486312399355,0.6112721417069242,0.8401129943502825,0.046379659471198806,0.5784143489430621,0.09920214180062913,"(np.float64(0.491), np.float64(0.665))"
Logistic Regression 0.5,0.943502824858757,0.9519774011299436,0.9293785310734464,0.9322033898305084,0.940677966101695,0.23076923076923078,0.2608695652173913,0.07407407407407407,0.14285714285714285,0.16,0.7333815028901735,0.8645231213872832,0.6654624277456648,0.5996779388083736,0.6186795491143319,0.93954802259887,0.17371400258356778,0.6963449079891654,0.10722145227214475,"(np.float64(0.602), np.float64(0.79))"
Logistic Regression 0.3,0.4576271186440678,0.53954802259887,0.5649717514124294,0.6101694915254238,0.5677966101694916,0.058823529411764705,0.07909604519774012,0.04938271604938271,0.06756756756756757,0.06134969325153374,0.7333815028901735,0.8645231213872832,0.6654624277456648,0.5996779388083736,0.6186795491143319,0.5480225988700566,0.06324391029559777,0.6963449079891654,0.10722145227214475,"(np.float64(0.602), np.float64(0.79))"
Logistic Regression 0.03,0.022598870056497175,0.022598870056497175,0.022598870056497175,0.03672316384180791,0.03389830508474576,0.04419889502762431,0.04419889502762431,0.04419889502762431,0.05013927576601671,0.05,0.7333815028901735,0.8645231213872832,0.6654624277456648,0.5996779388083736,0.6186795491143319,0.02768361581920904,0.04654719216977793,0.6963449079891654,0.10722145227214475,"(np.float64(0.602), np.float64(0.79))"
Logistic Regression 0.01,0.022598870056497175,0.022598870056497175,0.022598870056497175,0.031073446327683617,0.025423728813559324,0.04419889502762431,0.04419889502762431,0.04419889502762431,0.04986149584487535,0.049586776859504134,0.7333815028901735,0.8645231213872832,0.6654624277456648,0.5996779388083736,0.6186795491143319,0.024858757062146894,0.04640899155745048,0.6963449079891654,0.10722145227214475,"(np.float64(0.602), np.float64(0.79))"
