Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.9774011299435028,0.9745762711864406,0.9774011299435028,0.9745762711864406,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.7434971098265897,0.6882225433526011,0.6878612716763005,0.578743961352657,0.6294685990338165,0.9757062146892655,0.0,0.6655586970483929,0.06309664107411138,"(np.float64(0.61), np.float64(0.721))"
Random Forest 200,0.9774011299435028,0.9745762711864406,0.9774011299435028,0.9745762711864406,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.7514450867052024,0.6737716763005781,0.6889450867052024,0.5777777777777777,0.6278582930756843,0.9757062146892655,0.0,0.6639595841128891,0.06539279894310891,"(np.float64(0.607), np.float64(0.721))"
Random Forest 300,0.9774011299435028,0.9745762711864406,0.9774011299435028,0.9745762711864406,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.7687861271676301,0.666907514450867,0.6986994219653179,0.5636070853462158,0.6268921095008051,0.9757062146892655,0.0,0.6649784516861671,0.07688234840207363,"(np.float64(0.598), np.float64(0.732))"
Random Forest 500,0.9774011299435028,0.9745762711864406,0.9774011299435028,0.9745762711864406,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.7658959537572254,0.6759393063583815,0.6954479768786127,0.5639291465378422,0.6072463768115942,0.9757062146892655,0.0,0.6616917520687313,0.07861745527118459,"(np.float64(0.593), np.float64(0.731))"
Random Forest 1000,0.9774011299435028,0.9745762711864406,0.9774011299435028,0.9745762711864406,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.7720375722543353,0.6983381502890174,0.6950867052023122,0.5632850241545895,0.6167471819645732,0.9757062146892655,0.0,0.6690989267729656,0.08072166488134984,"(np.float64(0.598), np.float64(0.74))"
KNN 1,0.980225988700565,0.9519774011299436,0.9463276836158192,0.96045197740113,0.96045197740113,0.46153846153846156,0.10526315789473684,0.0,0.125,0.0,0.6846098265895953,0.5480491329479769,0.4841040462427746,0.5468599033816425,0.4927536231884058,0.9598870056497175,0.13836032388663969,0.551275306470079,0.08022587464492754,"(np.float64(0.481), np.float64(0.622))"
KNN 3,0.9745762711864406,0.9745762711864406,0.980225988700565,0.9661016949152542,0.9689265536723164,0.0,0.0,0.2222222222222222,0.0,0.0,0.6609465317919075,0.5233020231213873,0.5346820809248555,0.5231884057971015,0.5800322061191626,0.9728813559322035,0.04444444444444444,0.564430249550883,0.058813663396436545,"(np.float64(0.513), np.float64(0.616))"
KNN 5,0.9774011299435028,0.9745762711864406,0.9774011299435028,0.9745762711864406,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.7120664739884393,0.4998193641618497,0.5233020231213872,0.5012882447665057,0.5597423510466989,0.9757062146892655,0.0,0.559243691416976,0.08879321415564513,"(np.float64(0.481), np.float64(0.637))"
KNN 7,0.9774011299435028,0.9774011299435028,0.9774011299435028,0.9745762711864406,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.7527095375722543,0.47940751445086704,0.5130057803468208,0.4877616747181965,0.5388083735909822,0.976271186440678,0.0,0.5543385761358242,0.11330023537888205,"(np.float64(0.455), np.float64(0.654))"
Decision Tree 1,0.9774011299435028,0.9774011299435028,0.9774011299435028,0.9745762711864406,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.6936416184971097,0.4985549132947977,0.5,0.4956521739130435,0.6024154589371981,0.976271186440678,0.0,0.5580528329284299,0.08825578940738696,"(np.float64(0.481), np.float64(0.635))"
