Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.8870056497175142,0.9011299435028248,0.884180790960452,0.8700564971751412,0.884180790960452,0.16666666666666666,0.14634146341463414,0.16326530612244897,0.041666666666666664,0.08888888888888889,0.7164017341040462,0.6932803468208092,0.5563583815028902,0.5088566827697263,0.5848631239935588,0.8853107344632768,0.12136579835186105,0.6119520538382062,0.08941077816279001,"(np.float64(0.534), np.float64(0.69))"
Random Forest 200,0.8785310734463276,0.8757062146892656,0.8926553672316384,0.8870056497175142,0.8898305084745762,0.1568627450980392,0.12,0.17391304347826086,0.047619047619047616,0.09302325581395349,0.736271676300578,0.6947254335260116,0.5798410404624277,0.4940418679549114,0.5996779388083736,0.8847457627118646,0.11828361840186023,0.6209115914104604,0.09616394511640419,"(np.float64(0.537), np.float64(0.705))"
Random Forest 300,0.8898305084745762,0.8813559322033898,0.8898305084745762,0.884180790960452,0.8898305084745762,0.1702127659574468,0.16,0.1702127659574468,0.046511627906976744,0.09302325581395349,0.738800578034682,0.6965317919075145,0.5722543352601156,0.4972624798711755,0.6083735909822866,0.8870056497175142,0.12799208312716476,0.6226445552111548,0.09671484488962856,"(np.float64(0.538), np.float64(0.707))"
Random Forest 500,0.884180790960452,0.8870056497175142,0.8983050847457628,0.8813559322033898,0.8898305084745762,0.16326530612244897,0.16666666666666666,0.14285714285714285,0.045454545454545456,0.09302325581395349,0.7344653179190751,0.6914739884393064,0.578757225433526,0.4924315619967794,0.6115942028985507,0.8881355932203391,0.12225338338295147,0.6217444593374475,0.09518528587874056,"(np.float64(0.538), np.float64(0.705))"
Random Forest 1000,0.8898305084745762,0.8983050847457628,0.8898305084745762,0.884180790960452,0.884180790960452,0.1702127659574468,0.18181818181818182,0.13333333333333333,0.046511627906976744,0.046511627906976744,0.7362716763005781,0.6990606936416186,0.573699421965318,0.5078904991948471,0.6045088566827698,0.8892655367231639,0.11567750738458307,0.6242862295570263,0.09304581719261201,"(np.float64(0.543), np.float64(0.706))"
KNN 1,0.7231638418079096,0.7005649717514124,0.6694915254237288,0.7231638418079096,0.7203389830508474,0.09259259259259259,0.03636363636363636,0.064,0.0392156862745098,0.038834951456310676,0.6752167630057804,0.4804913294797688,0.5867052023121386,0.4792270531400966,0.47777777777777786,0.7073446327683616,0.05420137333740989,0.5398836251431124,0.08884131792223181,"(np.float64(0.462), np.float64(0.618))"
KNN 3,0.8531073446327684,0.8333333333333334,0.807909604519774,0.7768361581920904,0.7853107344632768,0.16129032258064516,0.03278688524590164,0.10526315789473684,0.09195402298850575,0.05,0.7028540462427746,0.5229407514450868,0.5621387283236994,0.5384863123993558,0.5241545893719807,0.8112994350282484,0.08825887774195787,0.5701148855565795,0.07586405317801401,"(np.float64(0.504), np.float64(0.637))"
KNN 5,0.884180790960452,0.8926553672316384,0.8559322033898306,0.8728813559322034,0.8728813559322034,0.19607843137254902,0.05,0.10526315789473684,0.11764705882352941,0.08163265306122448,0.714414739884393,0.5182442196531791,0.590679190751445,0.5576489533011272,0.5338164251207729,0.8757062146892656,0.11012426023040796,0.5829607057421834,0.07839612044648789,"(np.float64(0.514), np.float64(0.652))"
KNN 7,0.8898305084745762,0.9180790960451978,0.8700564971751412,0.9067796610169492,0.8898305084745762,0.1702127659574468,0.06451612903225806,0.08,0.05714285714285714,0.09302325581395349,0.711885838150289,0.5686416184971098,0.5653901734104047,0.5247987117552336,0.5491143317230274,0.894915254237288,0.0929790015893031,0.5839661347072129,0.07358462776654794,"(np.float64(0.519), np.float64(0.648))"
Decision Tree 1,0.8785310734463276,0.9322033898305084,0.8926553672316384,0.8954802259887006,0.9180790960451978,0.1568627450980392,0.2,0.13636363636363635,0.0975609756097561,0.17142857142857143,0.6936416184971097,0.6600433526011561,0.6398121387283238,0.567632850241546,0.6333333333333333,0.9033898305084745,0.15244318570000065,0.6388926586802938,0.046245303261402776,"(np.float64(0.598), np.float64(0.679))"
Decision Tree 2,0.847457627118644,0.9463276836158192,0.884180790960452,0.8954802259887006,0.9350282485875706,0.12903225806451613,0.24,0.1276595744680851,0.0975609756097561,0.14814814814814814,0.686777456647399,0.7494580924855492,0.6324060693641619,0.5462157809983896,0.7132045088566827,0.9016949152542374,0.14848019125810108,0.6656123816704365,0.0792169199413955,"(np.float64(0.596), np.float64(0.735))"
Decision Tree 3,0.8559322033898306,0.7937853107344632,0.8898305084745762,0.8954802259887006,0.9350282485875706,0.13559322033898305,0.12048192771084337,0.13333333333333333,0.0975609756097561,0.14814814814814814,0.7523482658959537,0.7845014450867053,0.6580563583815029,0.5518518518518518,0.6933977455716586,0.8740112994350282,0.1270235210282128,0.6880311333575345,0.09071286975398316,"(np.float64(0.609), np.float64(0.768))"
Decision Tree 4,0.884180790960452,0.923728813559322,0.867231638418079,0.8418079096045198,0.768361581920904,0.16326530612244897,0.18181818181818182,0.11320754716981132,0.06666666666666667,0.06818181818181818,0.728143063583815,0.7270592485549132,0.5471459537572254,0.5162640901771336,0.7117552334943639,0.8570621468926554,0.11862790399178538,0.6460735179134903,0.10517287808037501,"(np.float64(0.554), np.float64(0.738))"
Decision Tree 5,0.867231638418079,0.827683615819209,0.7542372881355932,0.8135593220338984,0.6779661016949152,0.14545454545454545,0.08955223880597014,0.06451612903225806,0.05714285714285714,0.09523809523809523,0.759393063583815,0.6985187861271676,0.5677384393063584,0.5204508856682769,0.7207729468599033,0.788135593220339,0.09038077313474521,0.6533748243091042,0.10346825016767469,"(np.float64(0.563), np.float64(0.744))"
Decision Tree 6,0.844632768361582,0.7005649717514124,0.632768361581921,0.8135593220338984,0.6949152542372882,0.12698412698412698,0.07017543859649122,0.04411764705882353,0.05714285714285714,0.0847457627118644,0.7290462427745665,0.6519147398843931,0.5227601156069364,0.5397745571658615,0.6626409017713365,0.7372881355932204,0.07663316649883266,0.6212273114406187,0.08748152021549976,"(np.float64(0.545), np.float64(0.698))"
Decision Tree 7,0.8192090395480226,0.7203389830508474,0.6440677966101694,0.7570621468926554,0.7203389830508474,0.1111111111111111,0.05714285714285714,0.045454545454545456,0.06521739130434782,0.09174311926605505,0.707550578034682,0.5352239884393064,0.5207731213872833,0.55829307568438,0.5993558776167471,0.7322033898305084,0.07413380485578332,0.5842393282324798,0.07506304909993232,"(np.float64(0.518), np.float64(0.65))"
Logistic Regression 0.5,0.8983050847457628,0.9293785310734464,0.8983050847457628,0.9152542372881356,0.9350282485875706,0.14285714285714285,0.07407407407407407,0.1,0.11764705882352941,0.14814814814814814,0.7655346820809248,0.8526011560693643,0.6961705202312138,0.6492753623188405,0.6228663446054751,0.9152542372881356,0.1165452847805789,0.7172896130611637,0.09303830980815955,"(np.float64(0.636), np.float64(0.799))"
Logistic Regression 0.3,0.6977401129943502,0.7909604519774012,0.7824858757062146,0.8192090395480226,0.6186440677966102,0.08547008547008547,0.11904761904761904,0.09411764705882353,0.08571428571428572,0.06896551724137931,0.7655346820809248,0.8526011560693643,0.6961705202312138,0.6492753623188405,0.6228663446054751,0.7418079096045197,0.09066303090643861,0.7172896130611637,0.09303830980815955,"(np.float64(0.636), np.float64(0.799))"
Logistic Regression 0.03,0.022598870056497175,0.022598870056497175,0.022598870056497175,0.025423728813559324,0.031073446327683617,0.04419889502762431,0.04419889502762431,0.04419889502762431,0.049586776859504134,0.04986149584487535,0.7655346820809248,0.8526011560693643,0.6961705202312138,0.6492753623188405,0.6228663446054751,0.024858757062146894,0.04640899155745048,0.7172896130611637,0.09303830980815955,"(np.float64(0.636), np.float64(0.799))"
Logistic Regression 0.01,0.022598870056497175,0.022598870056497175,0.022598870056497175,0.025423728813559324,0.025423728813559324,0.04419889502762431,0.04419889502762431,0.04419889502762431,0.049586776859504134,0.049586776859504134,0.7655346820809248,0.8526011560693643,0.6961705202312138,0.6492753623188405,0.6228663446054751,0.023728813559322035,0.04635404776037624,0.7172896130611637,0.09303830980815955,"(np.float64(0.636), np.float64(0.799))"
