Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
Random Forest 100,0.9782608695652174,0.9755434782608695,0.9755434782608695,0.9782016348773842,0.9782016348773842,0.0,0.0,0.0,0.0,0.0,0.6722222222222223,0.6454658000619004,0.692664809656453,0.5149721448467967,0.7879526462395543,0.977150219168345,0.0,0.6626555246053852,0.09848517003739239,"(np.float64(0.576), np.float64(0.749))"
Random Forest 200,0.9782608695652174,0.9755434782608695,0.9755434782608695,0.9782016348773842,0.9782016348773842,0.0,0.0,0.0,0.0,0.0,0.6859375,0.6643454038997214,0.6911173011451562,0.5393454038997214,0.7625348189415042,0.977150219168345,0.0,0.6686560855772207,0.08117297031609048,"(np.float64(0.598), np.float64(0.74))"
Random Forest 300,0.9782608695652174,0.9755434782608695,0.9755434782608695,0.9782016348773842,0.9782016348773842,0.0,0.0,0.0,0.0,0.0,0.6729166666666666,0.6572268647477562,0.6830702568864129,0.528899721448468,0.7437325905292479,0.977150219168345,0.0,0.6571692200557103,0.07884340569647076,"(np.float64(0.588), np.float64(0.726))"
Random Forest 500,0.9782608695652174,0.9755434782608695,0.9755434782608695,0.9782016348773842,0.9782016348773842,0.0,0.0,0.0,0.0,0.0,0.670138888888889,0.651965335809347,0.6969978334880842,0.5219359331476323,0.7405988857938719,0.977150219168345,0.0,0.6563273754255647,0.08219887266574089,"(np.float64(0.584), np.float64(0.728))"
Random Forest 1000,0.9782608695652174,0.9755434782608695,0.9755434782608695,0.9782016348773842,0.9782016348773842,0.0,0.0,0.0,0.0,0.0,0.6600694444444445,0.6541318477251625,0.7129371711544413,0.5383008356545962,0.733983286908078,0.977150219168345,0.0,0.6598845171773445,0.07602784158807731,"(np.float64(0.593), np.float64(0.727))"
KNN 1,0.9607843137254902,0.9551820728291317,0.9550561797752809,0.9466292134831461,0.9438202247191011,0.0,0.1111111111111111,0.0,0.0,0.09090909090909091,0.492816091954023,0.5440613026819924,0.4885057471264368,0.48419540229885055,0.5438218390804598,0.95229440090643,0.0404040404040404,0.5106800766283525,0.030516157535476603,"(np.float64(0.484), np.float64(0.537))"
KNN 3,0.9747899159663865,0.9775910364145658,0.9747191011235955,0.9662921348314607,0.9691011235955056,0.0,0.2,0.0,0.0,0.0,0.5296934865900383,0.5791826309067689,0.5278376436781609,0.5316091954022989,0.7119252873563218,0.9724986623863028,0.04,0.5760496487867177,0.07893074470836331,"(np.float64(0.507), np.float64(0.645))"
KNN 5,0.9775910364145658,0.9747899159663865,0.9775280898876404,0.9691011235955056,0.9775280898876404,0.2,0.0,0.0,0.0,0.0,0.5159642401021712,0.6232439335887611,0.513110632183908,0.5111350574712644,0.7525143678160919,0.9753076511503476,0.04,0.5831936462324394,0.10594502630602821,"(np.float64(0.49), np.float64(0.676))"
KNN 7,0.9747899159663865,0.9747899159663865,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.0,0.0,0.0,0.0,0.0,0.55316091954023,0.6163793103448275,0.5617816091954022,0.48670977011494254,0.7476652298850575,0.9764328203191388,0.0,0.5931393678160919,0.09788664566219389,"(np.float64(0.507), np.float64(0.679))"
Decision Tree 1,0.9782608695652174,0.9755434782608695,0.970108695652174,0.9782016348773842,0.9782016348773842,0.0,0.0,0.0,0.0,0.0,0.6180555555555556,0.5541627978953885,0.4972144846796657,0.4986072423398329,0.5569289693593314,0.9760632626466059,0.0,0.5449938099659548,0.049997786498356005,"(np.float64(0.501), np.float64(0.589))"
