Model,F1 fold 1,F1 fold 2,F1 fold 3,F1 fold 4,F1 fold 5,AUC fold 1,AUC fold 2,AUC fold 3,AUC fold 4,AUC fold 5
logistic regression 0.5,0.0,0.0,0.0,0.0,0.0,0.393,0.85,0.879,0.585,0.745
logistic regression 0.03,0.071,0.25,0.15,0.067,0.143,0.393,0.85,0.879,0.585,0.745
logistic regression 0.3,0.0,0.0,0.0,0.0,0.0,0.393,0.85,0.879,0.585,0.745
logistic regression 0.01,0.047,0.049,0.045,0.046,0.045,0.393,0.85,0.879,0.585,0.745

KNN 1,0.0,0.111,0.0,0.0,0.091,0.493,0.544,0.489,0.484,0.544
KNN 3,0.0,0.2,0.0,0.0,0.0,0.53,0.579,0.528,0.532,0.712
KNN 5,0.2,0.0,0.0,0.0,0.0,0.516,0.623,0.513,0.511,0.753
KNN 7,0.0,0.0,0.0,0.0,0.0,0.553,0.616,0.562,0.487,0.748

Random Forest v100,0.0,0.0,0.0,0.0,0.0,0.672,0.645,0.693,0.515,0.788
Random Forest v200,0.0,0.0,0.0,0.0,0.0,0.686,0.664,0.691,0.539,0.763
Random Forest v300,0.0,0.0,0.0,0.0,0.0,0.673,0.657,0.683,0.529,0.744
Random Forest v500,0.0,0.0,0.0,0.0,0.0,0.67,0.652,0.697,0.522,0.741
Random Forest v1000,0.0,0.0,0.0,0.0,0.0,0.66,0.654,0.713,0.538,0.734

Decision tree V1,0.0,0.0,0.0,0.0,0.0,0.618,0.554,0.497,0.499,0.557
Decision tree V2,0.0,0.0,0.0,0.0,0.0,0.64,0.624,0.545,0.57,0.703
Decision tree V3,0.0,0.0,0.0,0.0,0.0,0.662,0.622,0.557,0.573,0.704
Decision tree V4,0.154,0.0,0.0,0.0,0.0,0.556,0.472,0.563,0.476,0.748
Decision tree V5,0.143,0.0,0.143,0.0,0.0,0.554,0.465,0.623,0.507,0.676
Decision tree V6,0.143,0.0,0.105,0.0,0.0,0.584,0.453,0.631,0.494,0.7
Decision tree V7,0.286,0.0,0.0,0.0,0.0,0.599,0.518,0.436,0.507,0.737

