Model,F1 fold 1,F1 fold 2,F1 fold 3,F1 fold 4,F1 fold 5,AUC fold 1,AUC fold 2,AUC fold 3,AUC fold 4,AUC fold 5
logistic regression V1: 0.5,0.0,0.0,0.0,0.0,0.0,0.725,0.864,0.66,0.612,0.622
logistic regression V1: 0.3,0.0,0.0,0.0,0.0,0.167,0.725,0.864,0.66,0.612,0.622
logistic regression V1: 0.03,0.211,0.235,0.091,0.125,0.235,0.725,0.864,0.66,0.612,0.622
logistic regression V1: 0.01,0.046,0.044,0.047,0.051,0.043,0.725,0.864,0.66,0.612,0.622

KNN V1,0.462,0.105,0.0,0.125,0.0,0.685,0.548,0.484,0.547,0.493
KNN V3,0.0,0.0,0.222,0.0,0.0,0.661,0.523,0.535,0.523,0.58
KNN V5,0.0,0.0,0.0,0.0,0.0,0.712,0.5,0.523,0.501,0.56
KNN V7,0.0,0.0,0.0,0.0,0.0,0.753,0.479,0.513,0.488,0.539

Random Forest v100,0.0,0.0,0.0,0.0,0.0,0.664,0.646,0.645,0.631,0.673
Random Forest v200,0.0,0.0,0.0,0.0,0.0,0.663,0.626,0.67,0.643,0.731
Random Forest v300,0.0,0.0,0.0,0.0,0.0,0.676,0.619,0.691,0.627,0.706
Random Forest v500,0.0,0.0,0.0,0.0,0.0,0.668,0.616,0.721,0.619,0.703
Random Forest v1000,0.0,0.0,0.0,0.0,0.0,0.668,0.597,0.714,0.622,0.692

Decision tree 1,0.0,0.0,0.0,0.0,0.0,0.631,0.554,0.497,0.5,0.561
Decision tree 2,0.0,0.182,0.0,0.0,0.222,0.63,0.677,0.494,0.579,0.653
Decision tree 3,0.0,0.182,0.0,0.0,0.222,0.661,0.604,0.719,0.579,0.653
Decision tree 4,0.0,0.182,0.0,0.0,0.222,0.672,0.598,0.774,0.574,0.629
Decision tree 5,0.0,0.182,0.0,0.0,0.2,0.693,0.596,0.758,0.581,0.643
Decision tree 6,0.0,0.167,0.111,0.0,0.143,0.61,0.635,0.739,0.611,0.578
Decision tree 7,0.0,0.286,0.125,0.0,0.167,0.625,0.699,0.576,0.612,0.558
