Model,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
logistic regression 0.5,0.976,0.0,0.69,0.181,"(np.float64(0.532), np.float64(0.849))"
logistic regression 0.3,0.974,0.0,0.69,0.181,"(np.float64(0.532), np.float64(0.849))"
logistic regression 0.03,0.917,0.136,0.69,0.181,"(np.float64(0.532), np.float64(0.849))"
logistic regression 0.01,0.053,0.046,0.69,0.181,"(np.float64(0.532), np.float64(0.849))"

"knn V, (k=1)",0.952,0.04,0.511,0.027,"(np.float64(0.487), np.float64(0.535))"
"knn V, (k=3)",0.972,0.04,0.576,0.071,"(np.float64(0.514), np.float64(0.638))"
"knn V, (k=5)",0.975,0.04,0.583,0.095,"(np.float64(0.5), np.float64(0.666))"
"knn V, (k=7)",0.976,0.0,0.593,0.088,"(np.float64(0.516), np.float64(0.67))"

Random_forest v100,0.977,0.0,0.663,0.088,"(np.float64(0.585), np.float64(0.74))"
Random_forest v200,0.977,0.0,0.669,0.073,"(np.float64(0.605), np.float64(0.732))"
Random_forest v300,0.977,0.0,0.657,0.071,"(np.float64(0.595), np.float64(0.719))"
Random_forest v500,0.977,0.0,0.656,0.074,"(np.float64(0.592), np.float64(0.721))"
Random_forest v1000,0.977,0.0,0.66,0.068,"(np.float64(0.6), np.float64(0.719))"

Decision_tree 1,0.976,0.0,0.545,0.045,"(np.float(0.506),np.float640.584)"
Decision_tree 2,0.975,0.0,0.617,0.055,"(np.float64(0.568),np.float64(0.665))"
Decision_tree 3,0.975,0.0,0.624,0.055,"(np.float64(0.576),np.float64(0.672))"
Decision_tree 4,0.973,0.031,0.563,0.1,"(np.float64(0.475),np.float64(0.651))"
Decision_tree 5,0.97,0.057,0.565,0.076,"(np.float64(0.498),np.float64(0.632)"
Decision_tree 6,0.967,0.05,0.572,0.09,"(np.float64(0.494), 'np.float64(0.651)"
Decision_tree 7,0.968,0.057,0.559,0.103,"(np.float64(0.469),np.float64(0.649))"
