Model,Accuracy_fold_1,Accuracy_fold_2,Accuracy_fold_3,Accuracy_fold_4,Accuracy_fold_5,F1_fold_1,F1_fold_2,F1_fold_3,F1_fold_4,F1_fold_5,AUC_fold_1,AUC_fold_2,AUC_fold_3,AUC_fold_4,AUC_fold_5,Accuracy Mean,F1 Mean,AUC Mean,AUC Std. Dev,AUC 95% CI
KNN 1,0.9576271186440678,0.9124293785310734,0.9096045197740112,0.9293785310734464,0.9293785310734464,0.34782608695652173,0.06060606060606061,0.0,0.07407407407407407,0.07407407407407407,0.7341040462427746,0.5278179190751445,0.4653179190751445,0.5309178743961352,0.5309178743961352,0.927683615819209,0.11131605914214608,0.5578151266370668,0.10244544084565047,"(np.float64(0.468), np.float64(0.648))"
KNN 3,0.9548022598870056,0.9322033898305084,0.9548022598870056,0.943502824858757,0.9519774011299436,0.2,0.0,0.1111111111111111,0.09090909090909091,0.19047619047619047,0.7565028901734104,0.5950144508670521,0.48609104046242774,0.5362318840579711,0.5555555555555556,0.9474576271186441,0.11849927849927851,0.5858791642232835,0.10312365469828715,"(np.float64(0.495), np.float64(0.676))"
KNN 5,0.9519774011299436,0.9576271186440678,0.9661016949152542,0.9463276836158192,0.9491525423728814,0.10526315789473684,0.0,0.14285714285714285,0.0,0.18181818181818182,0.7425939306358381,0.5283598265895953,0.5200505780346821,0.49581320450885674,0.5834138486312399,0.9542372881355933,0.08598769651401231,0.5740462776800423,0.09952294186979319,"(np.float64(0.487), np.float64(0.661))"
KNN 7,0.9717514124293786,0.96045197740113,0.9745762711864406,0.9463276836158192,0.9576271186440678,0.375,0.0,0.18181818181818182,0.0,0.21052631578947367,0.8621748554913294,0.49530346820809246,0.5493135838150289,0.476328502415459,0.5980676328502416,0.9621468926553673,0.15346889952153112,0.5962376085560303,0.1561199273135446,"(np.float64(0.459), np.float64(0.733))"
KNN 1,0.923728813559322,0.867231638418079,0.8757062146892656,0.8898305084745762,0.8813559322033898,0.18181818181818182,0.04081632653061224,0.0,0.04878048780487805,0.045454545454545456,0.6557080924855492,0.5046965317919075,0.44797687861271673,0.5106280193236715,0.506280193236715,0.8875706214689265,0.06337390832164351,0.5250579430901119,0.07743766153741845,"(np.float64(0.457), np.float64(0.593))"
KNN 3,0.9067796610169492,0.867231638418079,0.867231638418079,0.8587570621468926,0.884180790960452,0.15384615384615385,0.0784313725490196,0.04081632653061224,0.038461538461538464,0.1276595744680851,0.6679913294797687,0.6179552023121387,0.44960260115606937,0.4318840579710145,0.5698872785829306,0.8768361581920903,0.08784299317108184,0.5474640939003843,0.10360287949716183,"(np.float64(0.457), np.float64(0.638))"
KNN 5,0.9067796610169492,0.8559322033898306,0.8813559322033898,0.8757062146892656,0.8615819209039548,0.15384615384615385,0.03773584905660377,0.045454545454545456,0.043478260869565216,0.07547169811320754,0.6885838150289018,0.5657514450867052,0.47615606936416177,0.43993558776167474,0.581159420289855,0.876271186440678,0.07119730146801517,0.5503172675062598,0.09745651456271412,"(np.float64(0.465), np.float64(0.636))"
KNN 7,0.9180790960451978,0.8389830508474576,0.9011299435028248,0.8728813559322034,0.8785310734463276,0.17142857142857143,0.03389830508474576,0.10256410256410256,0.0425531914893617,0.0851063829787234,0.7456647398843932,0.5838150289017341,0.510657514450867,0.42399355877616746,0.5611916264090177,0.8819209039548023,0.08711011070910098,0.5650644936844358,0.11815684350109416,"(np.float64(0.461), np.float64(0.669))"
KNN 1,0.943502824858757,0.923728813559322,0.9322033898305084,0.9322033898305084,0.923728813559322,0.23076923076923078,0.06896551724137931,0.0,0.07692307692307693,0.06896551724137931,0.6658236994219654,0.5335982658959538,0.476878612716763,0.5323671497584541,0.5280193236714976,0.9310734463276835,0.08912466843501325,0.5473374102929267,0.07033758619577597,"(np.float64(0.486), np.float64(0.609))"
KNN 3,0.9548022598870056,0.9350282485875706,0.9463276836158192,0.9265536723163842,0.9519774011299436,0.2,0.08,0.09523809523809523,0.0,0.19047619047619047,0.6372832369942197,0.49692919075144504,0.4967485549132948,0.4818035426731079,0.555877616747182,0.9429378531073447,0.11314285714285714,0.5337284284158499,0.0644826984930508,"(np.float64(0.477), np.float64(0.59))"
KNN 5,0.9661016949152542,0.943502824858757,0.9519774011299436,0.9322033898305084,0.9548022598870056,0.3333333333333333,0.0,0.10526315789473684,0.0,0.2,0.6829841040462428,0.4613439306358382,0.4730852601156069,0.5165861513687601,0.5371980676328503,0.9497175141242937,0.12771929824561404,0.5342395027598597,0.08873972639406065,"(np.float64(0.456), np.float64(0.612))"
KNN 7,0.9661016949152542,0.9519774011299436,0.9661016949152542,0.9350282485875706,0.9463276836158192,0.3333333333333333,0.0,0.14285714285714285,0.0,0.09523809523809523,0.7304913294797688,0.44942196531791906,0.4608020231213873,0.49371980676328503,0.5141706924315621,0.9531073446327684,0.11428571428571428,0.5297211634227844,0.11515683167325602,"(np.float64(0.429), np.float64(0.631))"
Decision Tree 1,0.672316384180791,0.8785310734463276,0.8898305084745762,0.6779661016949152,0.8983050847457628,0.07936507936507936,0.1568627450980392,0.13333333333333333,0.05,0.14285714285714285,0.6492052023121387,0.6936416184971097,0.6383670520231214,0.5101449275362319,0.6231884057971014,0.8033898305084746,0.11248366013071895,0.6229094412331406,0.06828132807197018,"(np.float64(0.563), np.float64(0.683))"
Decision Tree 2,0.748587570621469,0.9152542372881356,0.923728813559322,0.7401129943502824,0.923728813559322,0.10101010101010101,0.21052631578947367,0.12903225806451613,0.02127659574468085,0.12903225806451613,0.671242774566474,0.782514450867052,0.6651011560693642,0.3718196457326892,0.6004830917874395,0.8502824858757062,0.11817550573465754,0.6182322238046037,0.15250381614218989,"(np.float64(0.485), np.float64(0.752))"
Decision Tree 3,0.844632768361582,0.9350282485875706,0.9661016949152542,0.7824858757062146,0.9378531073446328,0.09836065573770492,0.25806451612903225,0.14285714285714285,0.02531645569620253,0.08333333333333333,0.6896676300578035,0.7828757225433526,0.7014089595375723,0.3946859903381642,0.4977455716586152,0.8932203389830509,0.12158642075068318,0.6132767748271016,0.16085400040115988,"(np.float64(0.472), np.float64(0.754))"
Decision Tree 4,0.7711864406779662,0.9011299435028248,0.9209039548022598,0.7853107344632768,0.9124293785310734,0.06896551724137931,0.18604651162790697,0.06666666666666667,0.02564102564102564,0.11428571428571428,0.6847904624277458,0.7738439306358382,0.6822615606936416,0.4510466988727858,0.585829307568438,0.8581920903954803,0.09232108709253858,0.6355543920396899,0.12272471183456436,"(np.float64(0.528), np.float64(0.743))"
Decision Tree 5,0.8050847457627118,0.9011299435028248,0.9293785310734464,0.711864406779661,0.884180790960452,0.08,0.18604651162790697,0.0,0.019230769230769232,0.08888888888888889,0.6701589595375723,0.7145953757225433,0.7595736994219653,0.4737520128824476,0.6028985507246376,0.8463276836158192,0.07483323394951302,0.6441957196578333,0.11146613045536,"(np.float64(0.546), np.float64(0.742))"
Decision Tree 6,0.7909604519774012,0.768361581920904,0.9067796610169492,0.8248587570621468,0.9350282485875706,0.075,0.023809523809523808,0.0,0.06060606060606061,0.14814814814814814,0.5664739884393064,0.6535404624277457,0.6035043352601157,0.4391304347826087,0.5950080515297906,0.8451977401129944,0.061512746512746505,0.5715314544879134,0.08039667449380743,"(np.float64(0.501), np.float64(0.642))"
Decision Tree 7,0.7401129943502824,0.8898305084745762,0.9124293785310734,0.8135593220338984,0.844632768361582,0.041666666666666664,0.09302325581395349,0.0,0.029411764705882353,0.06779661016949153,0.5164378612716763,0.6920158959537572,0.6309609826589596,0.44138486312399355,0.6112721417069242,0.8401129943502825,0.046379659471198806,0.5784143489430621,0.09920214180062913,"(np.float64(0.491), np.float64(0.665))"
Decision Tree 1,0.672316384180791,0.8785310734463276,0.8898305084745762,0.6779661016949152,0.8983050847457628,0.07936507936507936,0.1568627450980392,0.13333333333333333,0.05,0.14285714285714285,0.6492052023121387,0.6936416184971097,0.6383670520231214,0.5101449275362319,0.6231884057971014,0.8033898305084746,0.11248366013071895,0.6229094412331406,0.06828132807197018,"(np.float64(0.563), np.float64(0.683))"
